	-0.1806
00302	0.0065
0460	0.0065
1	0.0705
10	0.0258
102	0.0065
11	0.0479
12	0.0711
13	0.0065
14	0.0129
15	0.0582
154	0.0065
16	0.0129
1923	0.0065
1925	0.0065
1926	0.0233
1928	0.0129
1929	0.0065
1930	0.0065
1933	0.0058
1934	0.0058
1935	0.0065
1936	0.0129
1937	0.0232
1938	0.0065
1939	0.0065
1940	0.0065
1941	0.0065
1942	0.0160
1943	0.0065
1981	0.0053
1990	0.0050
1995	0.0065
2	0.0628
20	0.0258
2005	0.0050
23	0.0129
25	0.0258
29	0.0058
3	0.0452
30	0.0065
315	0.0065
37	0.0065
38	0.0065
4	0.0522
445	0.0065
45	0.0065
450	0.0065
5	0.0522
500	0.0116
562	0.0065
6	0.0388
61	0.0065
7	0.0232
72	0.0065
7698	0.0065
8	0.0194
9	0.0388
92	0.0065
I	0.0065
II	0.0517
ISBN	0.0129
Wikipedia	0.0065
cm	0.0129
m	0.0194
mm	0.0058
いる	0.0042
きく	0.0065
こと	0.0065
する	0.0339
その後	0.0065
たち	0.0065
づく	0.0065
れる	0.0153
アドミラルティ	0.0065
アメリカ	0.0065
ウィキペディア	0.0065
カテゴリ	0.0065
グアム	0.0065
サラモア	0.0065
タービン	0.0065
ツラギ	0.0116
トン	0.0160
ナビゲーション	0.0065
ノット	0.0116
フリー	0.0065
ラエ	0.0065
ラバウル	0.0065
ロ	0.0065
・	0.0065
一	0.0129
一等	0.0065
一覧	0.0065
七	0.0065
三	0.0213
中	0.0194
中佐	0.0160
丸	0.0065
乗員	0.0065
事典	0.0065
二	0.0107
人事	0.0116
仏	0.0065
代目	0.0065
会	0.0044
佐世保	0.0065
佐藤	0.0065
作成	0.0065
作戦	0.0233
作間	0.0065
俊美	0.0065
保存	0.0053
個	0.0065
光人	0.0116
全幅	0.0065
全長	0.0065
八	0.0065
兵	0.0065
兼	0.0065
再度	0.0065
写真	0.0065
出典	0.0065
初代	0.0065
利雄	0.0065
刷	0.0065
勢	0.0065
十	0.0129
南	0.0065
単	0.0065
卯月	0.0065
印	0.0065
原	0.0065
参加	0.0129
参考	0.0116
受ける	0.0116
口径	0.0065
史	0.0160
号	0.0194
吃水	0.0065
各	0.0065
同上	0.0116
同年	0.0065
名	0.0232
員	0.0116
喪失	0.0065
器	0.0065
型	0.0160
基	0.0194
基準	0.0065
夕	0.0065
外山	0.0065
大前	0.0065
大日本帝国	0.0065
大正	0.0116
大破	0.0065
太平洋戦争	0.0065
如月	0.0065
字	0.0065
学会	0.0065
寛	0.0065
小林	0.0058
小西	0.0065
少佐	0.0442
山田	0.0065
島	0.0065
島崎	0.0021
工作	0.0116
巻	0.0174
常備	0.0065
年	0.2203
幸吉	0.0065
府	0.0065
度	0.0065
建造	0.0116
式	0.0194
弥生	0.0065
当初	0.0065
従事	0.0065
徹	0.0065
恒雄	0.0065
戦争	0.0065
戦隊	0.0065
所	0.0065
所属	0.0107
手帳	0.0116
投射	0.0065
挺	0.0065
排水	0.0065
損傷	0.0065
撮影	0.0058
操	0.0065
擱座	0.0065
支	0.0116
支援	0.0053
改名	0.0065
攻撃	0.0058
攻略	0.0198
放棄	0.0065
敏一	0.0065
文月	0.0065
文献	0.0116
斎藤	0.0116
方面	0.0088
日	0.1809
日月	0.0065
日本	0.0406
旧暦	0.0065
昭和	0.0160
時	0.0058
時吉	0.0065
書房	0.0065
月	0.1598
有馬	0.0065
朗	0.0116
望月	0.0058
本	0.0065
本式	0.0116
松郎	0.0065
森	0.0129
検索	0.0065
機	0.0065
機銃	0.0065
機関	0.0065
歴	0.0194
歴る	0.0065
歴代	0.0116
歴史	0.0058
水無月	0.0065
江口	0.0065
沈没	0.0065
浜中	0.0065
海岸	0.0065
海軍	0.0264
海里	0.0065
清之	0.0065
燃料	0.0065
爆撃	0.0053
爆雷	0.0116
理	0.0065
留	0.0065
番	0.0065
発射	0.0065
百科	0.0065
皐月	0.0065
目次	0.0065
睦月	0.0198
砲	0.0065
社	0.0107
神風	0.0065
移動	0.0065
空母	0.0065
竣工	0.0116
第	0.0522
第一法規出版	0.0065
管	0.0065
米	0.0065
経雄	0.0065
続く	0.0065
緒戦	0.0065
編	0.0065
編集	0.0373
缶	0.0065
翌	0.0065
脚注	0.0116
脩一	0.0065
舞鶴	0.0116
航空	0.0129
航続	0.0065
船団	0.0065
艤装	0.0116
艦	0.0531
艦艇	0.0065
艦長	0.0233
艦隊	0.0065
英	0.0065
菊月	0.0264
表	0.0065
表示	0.0058
装	0.0116
要人	0.0065
要目	0.0065
計画	0.0129
話	0.0065
護衛	0.0065
起工	0.0065
距離	0.0065
軍	0.0065
軍艦	0.0116
軸	0.0065
速力	0.0065
造船	0.0116
連装	0.0065
進出	0.0065
進水	0.0065
進駐	0.0065
邇	0.0065
部	0.0194
重油	0.0065
量	0.0053
金田	0.0065
鉄夫	0.0065
鎮守	0.0065
長	0.0129
長月	0.0065
門	0.0116
開戦	0.0065
除籍	0.0116
隊	0.0065
隠す	0.0065
雑誌	0.0053
非	0.0065
類別	0.0065
馬力	0.0065
駆逐	0.0367
魚雷	0.0116
