	-0.3167
1	0.0270
17	0.0099
1952	0.0198
1982	0.0099
2	0.0064
2006	0.0099
2008	0.0089
3	0.0198
31	0.0099
4	0.0089
5	0.0089
6	0.0099
7	0.0089
8	0.0099
9	0.0099
HP	0.0099
NGO	0.0099
OSHOU	0.0099
Wikipedia	0.0099
あたる	0.0099
ある	0.0082
いしだ	0.0099
いる	0.0193
えみ	0.0099
かつて	0.0089
くいとめる	0.0099
くま	0.0099
この	0.0089
ごらん	0.0099
じゅん	0.0099
する	0.0360
その	0.0099
ない	0.0099
なぜ	0.0099
の	0.0099
ほしい	0.0099
みずほ	0.0099
め	0.0099
もらう	0.0099
ら	0.0099
られる	0.0089
アメリカ	0.0099
イマジン	0.0099
インド	0.0061
ウィキペディア	0.0099
オショウ	0.0099
カテゴリ	0.0099
ガイア	0.0405
クジラ	0.0099
グリーン	0.0050
グリーンピース	0.0245
グルジェフ	0.0099
ジェームズ	0.0198
ジャパン	0.0099
ジャン	0.0099
スワミ・プラブッダ	0.0099
スワミ・プレム・プラブッダ	0.0099
タレント	0.0082
テロ	0.0076
トンプソン	0.0099
ナイ	0.0099
ナビゲーション	0.0099
ニューエイジ	0.0099
ノア	0.0099
ハワイ	0.0099
バグワン・シュリ・ラジニーシ	0.0099
パラダイム	0.0099
ピース	0.0099
フリー	0.0099
プラブッダ	0.0178
ベーリンジア	0.0099
ホクレア	0.0099
ホーリーネーム	0.0099
メルクマール	0.0099
メンバー	0.0163
ユドン	0.0099
ライフ	0.0099
ライブラリー	0.0099
ラジニーシ	0.0099
ラブ	0.0099
ラヴ	0.0099
リンク	0.0163
ロック	0.0178
ヶ所	0.0099
ー	0.0089
一	0.0099
一番	0.0099
七つ	0.0178
万	0.0089
三宅	0.0099
不滅	0.0099
世界	0.0245
中退	0.0099
丸	0.0099
主	0.0178
主義	0.0076
乗組	0.0099
九州芸術工科大学	0.0099
事件	0.0152
事典	0.0099
事務	0.0297
事後	0.0099
事業	0.0099
人々	0.0099
人物	0.0245
他	0.0099
作品	0.0067
作家	0.0099
作成	0.0099
元	0.0099
公式	0.0099
六	0.0099
共著	0.0178
内容	0.0198
再	0.0099
処理	0.0099
出会い	0.0099
出典	0.0099
出版	0.0076
前	0.0099
南日本新聞社	0.0099
原発	0.0099
反	0.0163
反対	0.0099
合同	0.0089
同上	0.0089
同時	0.0089
名義	0.0297
和尚	0.0099
員	0.0089
圏	0.0198
地球	0.0245
坂本	0.0099
士	0.0099
壱成	0.0099
変える	0.0089
外部	0.0178
多い	0.0099
多数	0.0099
多発	0.0099
妻	0.0099
妻子	0.0099
嫁	0.0099
子	0.0089
存命	0.0099
実妹	0.0099
家	0.0193
対談	0.0089
小説	0.0071
局長	0.0245
屋久島	0.0193
展開	0.0099
工作	0.0178
希望	0.0089
平凡社	0.0099
年	0.0444
年生	0.0089
幻冬舎	0.0297
広範	0.0099
張る	0.0099
弾劾	0.0099
後	0.0198
徳間書店	0.0099
想像	0.0099
憲法	0.0099
戦	0.0297
戦争	0.0198
手	0.0099
手がける	0.0099
承認	0.0099
持ち出し	0.0099
持ち出す	0.0099
捕鯨	0.0245
擁護	0.0099
施設	0.0099
旅路	0.0099
日	0.0198
日新	0.0099
日本	0.0444
明石書店	0.0089
星	0.0089
星川	0.0178
時代	0.0198
書	0.0396
月	0.0163
村	0.0064
核	0.0099
格差	0.0099
森	0.0198
検索	0.0099
殺す	0.0099
民主	0.0099
水	0.0089
注	0.0178
注目	0.0099
泳社	0.0099
活動	0.0267
淳	0.0178
無断	0.0089
燃料	0.0099
現在	0.0099
理論	0.0178
生命	0.0178
生活	0.0267
甥	0.0178
町	0.0056
発表	0.0143
白水	0.0099
百科	0.0099
目次	0.0099
直接	0.0089
県	0.0071
石田	0.0099
社	0.0245
福島	0.0089
私物	0.0099
科学	0.0099
移住	0.0099
移動	0.0099
築地	0.0099
系	0.0076
純一	0.0099
編集	0.0653
翔	0.0099
翻訳	0.0495
肖像	0.0099
自宅	0.0099
舎	0.0178
航海	0.0089
船	0.0099
著	0.0099
著作	0.0304
表示	0.0089
西濃運輸	0.0178
親戚	0.0178
記憶	0.0099
訳書	0.0198
調査	0.0178
論陣	0.0099
讃歌	0.0099
近年	0.0099
送る	0.0099
進化	0.0099
運動	0.0267
長男	0.0089
関わる	0.0178
関係	0.0198
関連	0.0198
集	0.0099
非	0.0396
項目	0.0198
館	0.0297
魂	0.0099
鹿児島	0.0099
龍一	0.0099
