	-0.3374
1	0.0189
10	0.0069
12	0.0069
18	0.0186
1970	0.0069
1983	0.0069
1992	0.0069
2	0.0179
2002	0.0062
2007	0.0053
2009	0.0114
2010	0.0276
3	0.0276
30	0.0069
4	0.0434
41	0.0069
5	0.0124
ABC	0.0249
ANN	0.0171
BOX	0.0069
EYE	0.0069
HAB	0.0069
HOME	0.0212
J	0.0212
JNN	0.0069
KSB	0.0207
NEWS	0.0053
Wikipedia	0.0069
eat	0.0212
yab	0.0124
あくまでも	0.0069
いる	0.0761
うち	0.0207
かける	0.0069
くみ子	0.0069
ぐち	0.0069
ぐるり	0.0314
ここ	0.0069
こと	0.0069
この	0.0186
これ	0.0069
する	0.0697
その後	0.0138
ため	0.0124
とる	0.0069
なる	0.0399
の	0.0069
ま	0.0069
もの	0.0069
ゆう	0.0069
れる	0.0286
アナウンサー	0.0248
ウィキプロジェクト	0.0069
ウィキペディア	0.0069
エリア	0.0050
カテゴリ	0.0069
コーナー	0.0069
システム	0.0062
スタジオ	0.0138
ステーション	0.0124
スーパー	0.0124
タイトル	0.0069
チャン	0.0069
チャンネル	0.0124
テレビ	0.0138
トピックス	0.0069
ナビゲーション	0.0069
ニュース	0.0028
ハイビジョン	0.0171
フリー	0.0138
ポータル	0.0069
モナ	0.0069
リポート	0.0069
リンク	0.0114
ルミナリエ	0.0069
ローカル	0.0207
ワイド	0.0069
ワイドサタデー	0.0069
ワイドショー	0.0124
一切	0.0069
一旦	0.0069
一部	0.0138
三重	0.0069
下さる	0.0069
両	0.0062
中	0.0069
中国	0.0057
中継	0.0207
九州	0.0138
九州朝日放送	0.0069
乾	0.0069
事	0.0069
事典	0.0069
五月女	0.0069
交代	0.0345
京都	0.0100
企画	0.0186
伊賀	0.0069
作成	0.0069
健太郎	0.0069
優子	0.0069
全て	0.0069
全編	0.0124
共同	0.0138
内	0.0124
出典	0.0069
出張	0.0069
分	0.0207
初期	0.0062
制作	0.0124
前	0.0069
加わる	0.0069
加筆	0.0069
化	0.0069
協力	0.0069
参加	0.0276
友理子	0.0069
取り上げる	0.0069
台	0.0138
含む	0.0050
周辺	0.0069
四国	0.0069
地区	0.0069
地域	0.0062
地方	0.0138
堀	0.0069
場合	0.0069
塚本	0.0069
変化	0.0069
夕方	0.0069
外局	0.0069
外部	0.0124
大分	0.0069
大分朝日放送	0.0069
大角	0.0069
奈良	0.0069
女性	0.0069
子	0.0062
季節	0.0069
対応	0.0069
小嶋	0.0069
局	0.1313
山口	0.0069
山口朝日放送	0.0171
山本	0.0062
山田	0.0069
岡	0.0069
岡山	0.0062
市脇	0.0069
年	0.0682
年度	0.0069
幹事	0.0212
広島	0.0062
広島ホームテレビ	0.0207
府	0.0138
府県	0.0069
康平	0.0069
式	0.0069
当時	0.0138
形	0.0138
徳島	0.0029
情報	0.0276
愛媛	0.0138
愛媛朝日テレビ	0.0124
担当	0.0138
接す	0.0069
放送	0.0898
新設	0.0069
日	0.0138
映像	0.0069
時	0.0124
時間	0.0276
書く	0.0069
最近	0.0069
月	0.0456
朝日放送	0.0283
未	0.0069
本	0.0069
本庄	0.0124
村上	0.0062
東京	0.0039
枠	0.0057
柳瀬	0.0069
梨子	0.0069
検索	0.0069
標準	0.0069
橋詰	0.0069
毎週	0.0069
求める	0.0069
沖縄	0.0090
沙耶	0.0069
渡辺	0.0069
滋賀	0.0069
瀬戸内	0.0372
瀬戸内海	0.0212
瀬戸内海放送	0.0171
点灯	0.0069
現	0.0138
生	0.0069
生放送	0.0062
画質	0.0069
番組	0.0691
発	0.0069
発展	0.0069
登場	0.0062
百科	0.0069
目次	0.0069
直面	0.0124
県	0.0598
真由美	0.0069
祇園祭	0.0069
神戸	0.0124
福岡	0.0062
移動	0.0069
程度	0.0069
系列	0.0285
紹介	0.0207
結	0.0069
結ぶ	0.0069
編集	0.0285
美佳	0.0069
者	0.0057
若菜	0.0069
茉里	0.0069
薫	0.0069
表示	0.0062
西日本	0.0069
視聴	0.0069
言える	0.0069
訂正	0.0069
記事	0.0069
話題	0.0138
近畿	0.0138
送出	0.0069
週末	0.0069
里恵子	0.0124
金曜日	0.0138
開催	0.0138
開局	0.0069
関	0.0069
関係	0.0069
関連	0.0207
除く	0.0062
非	0.0069
項目	0.0207
香	0.0069
香川	0.0062
香菜	0.0069
麻	0.0069
