	-0.2678
1	0.0346
10	0.0203
12	0.0051
1887	0.0125
1910	0.0091
1912	0.0051
1915	0.0051
1916	0.0051
1919	0.0051
1939	0.0051
1941	0.0101
1942	0.0084
1943	0.0051
1944	0.0117
1946	0.0101
1947	0.0253
2	0.0230
20	0.0051
21	0.0051
26	0.0152
3	0.0456
30	0.0051
33	0.0051
38	0.0051
4	0.0227
45	0.0051
5	0.0045
57	0.0051
58	0.0091
6	0.0304
60	0.0051
7	0.0136
8	0.0152
9	0.0051
A	0.0051
ADM	0.0051
AV	0.0042
Admiral	0.0051
Andrew	0.0091
CV	0.0051
DDG	0.0051
Includes	0.0051
L	0.0051
Marc	0.0125
Mitscher	0.0207
NC	0.0253
Navy	0.0051
Official	0.0091
Pete	0.0051
S	0.0051
U	0.0051
USS	0.0091
Wikipedia	0.0051
at	0.0051
biographical	0.0051
biography	0.0051
destroyer	0.0051
information	0.0051
of	0.0030
on	0.0051
s	0.0039
site	0.0051
the	0.0066
website	0.0051
いくつ	0.0051
いる	0.0066
こと	0.0101
この	0.0045
これら	0.0042
する	0.0470
その	0.0051
その後	0.0203
ため	0.0091
ちなむ	0.0051
できる	0.0051
ない	0.0051
なる	0.0251
の	0.0051
られる	0.0045
れる	0.0120
アゾレス	0.0051
アメリカ	0.0253
アメリカ合衆国	0.0182
アンドリュー	0.0051
ウィキペディア	0.0051
ウィスコンシン	0.0091
エベール	0.0051
カテゴリ	0.0051
カーティス	0.0051
ガ	0.0045
ガリガリ	0.0051
キロ	0.0051
クルーズ	0.0051
グレイ	0.0051
コロラド	0.0051
サラト	0.0051
サンタ	0.0042
サンディエゴ	0.0051
セント	0.0051
ソロモン	0.0051
ト	0.0051
トラック	0.0051
ドーリットル	0.0051
ナビゲーション	0.0051
ニューギニア	0.0051
ニューファンドランド	0.0051
ヌーメア	0.0051
ネット	0.0227
ノースカロライナ	0.0051
ノーフォーク	0.0091
バージニア	0.0091
パイロット	0.0125
パラオ	0.0091
ヒルスボロ	0.0091
ピート	0.0091
フィリピン	0.0101
フリー	0.0051
ホー	0.0253
ホーネット	0.0051
マナー	0.0051
マリアナ	0.0125
マーク	0.0101
マーク・ミッチャー	0.0091
ミッチャー	0.0304
ミッドウェー	0.0051
ライト	0.0101
ラン	0.0045
リンク	0.0084
レイテ	0.0051
レキシントン	0.0051
レジオン・オブ・メリット	0.0051
ロー	0.0045
ヶ月	0.0051
・	0.0051
一	0.0203
一方	0.0051
三	0.0042
上げる	0.0051
下	0.0051
不手際	0.0051
与える	0.0051
世界	0.0292
中	0.0051
中央	0.0028
中将	0.0051
事典	0.0051
二	0.0251
交互	0.0051
人物	0.0042
以下	0.0051
任務	0.0182
任官	0.0051
体重	0.0051
作成	0.0051
作戦	0.0146
侵攻	0.0091
偵察	0.0051
働き	0.0051
先頭	0.0051
全て	0.0051
全滅	0.0051
八	0.0051
内	0.0091
出典	0.0051
出発	0.0051
切れ	0.0051
初	0.0051
初めて	0.0051
初代	0.0051
前	0.0051
功績	0.0051
加える	0.0101
務める	0.0253
勤務	0.0203
勲章	0.0051
十	0.0101
卒業	0.0051
受ける	0.0045
受章	0.0101
号	0.0051
司令	0.0152
各	0.0051
合流	0.0101
同職	0.0051
名	0.0045
名付ける	0.0051
団	0.0209
在職	0.0051
地	0.0101
墨	0.0051
外部	0.0091
大	0.0051
大きな	0.0101
大将	0.0125
大戦	0.0292
大西洋	0.0125
太平洋	0.0091
太平洋戦争	0.0051
失う	0.0101
妨げる	0.0051
字	0.0101
官	0.0558
察	0.0051
少尉	0.0051
就任	0.0355
就役	0.0051
島	0.0203
州	0.0182
巡洋艦	0.0051
帰還	0.0051
年	0.1046
年生	0.0045
年間	0.0051
