	-0.2209
0	0.0085
1	0.0280
10	0.0411
11	0.0254
12	0.0411
13	0.0205
14	0.0205
15	0.0205
16	0.0205
17	0.0205
175	0.0103
18	0.0184
19	0.0205
1961	0.0254
1980	0.0103
1982	0.0205
1985	0.0184
1986	0.0616
1987	0.0103
1988	0.0103
1989	0.0205
1990	0.0315
1993	0.0103
1994	0.0103
1996	0.0103
1997	0.0092
1998	0.0184
2	0.0200
20	0.0205
2010	0.0103
21	0.0205
22	0.0205
26	0.0103
3	0.0308
4	0.0368
48	0.0103
5	0.0276
6	0.0205
7	0.0184
73	0.0103
8	0.0205
82	0.0103
86	0.0103
87	0.0103
88	0.0103
89	0.0103
9	0.0205
90	0.0103
95	0.0103
97	0.0103
98	0.0103
CD	0.0103
Chendo	0.0184
DF	0.0184
FC	0.0103
FIFA	0.0315
M	0.0158
Miguel	0.0184
Noguera	0.0184
P	0.0079
PJ	0.0205
Porlan	0.0184
Portal	0.0103
RSB	0.0103
UEFA	0.0184
W	0.0184
Wikipedia	0.0103
cm	0.0103
kg	0.0103
pj	0.0103
いる	0.0200
かける	0.0205
くださる	0.0103
こと	0.0103
この	0.0276
する	0.0414
れる	0.0061
アブラネード	0.0184
アル	0.0315
アルコルタ	0.0103
アルベルト	0.0103
アンドリヌア	0.0103
イエロ	0.0103
イタリア	0.0103
ウィキペディア	0.0103
ウルティ	0.0103
エロイ	0.0103
オチョトレーナ	0.0103
カステリョン	0.0103
カップ	0.0103
カテゴリ	0.0103
カバー	0.0103
カマーチョ	0.0103
カラスコ	0.0103
カルデレ	0.0103
ガジェゴ	0.0103
キケ	0.0103
キンタ・デル・ブイトレ	0.0103
クラブ	0.0184
コパ・デル・レイ	0.0103
ゴイコエチェア	0.0103
ゴリス	0.0103
ゴルディージョ	0.0103
サイド	0.0103
サイドバック	0.0103
サッカー	0.0466
サリナス	0.0184
サンチス	0.0103
シスコ	0.0103
シーズン	0.0103
スアレス	0.0103
スタイル	0.0184
スビサレッタ	0.0184
スペイン	0.0547
セティエン	0.0103
セニョール	0.0103
タイトル	0.0205
チェンド	0.0315
チャンス	0.0103
チャンピオンズ	0.0103
テンプレート	0.0103
ディエゴ	0.0103
デビュー	0.0103
トマス	0.0103
ナビゲーション	0.0103
ノート	0.0103
バケーロ	0.0103
バスケス	0.0103
バルセロナ	0.0103
パス	0.0103
パルデサ	0.0103
ヒメネス	0.0103
ビクトル	0.0103
ビリャローヤ	0.0103
フェルナンド	0.0103
フラン	0.0103
フリオ	0.0103
フリー	0.0103
ブトラゲーニョ	0.0184
プレー	0.0184
ベルト	0.0103
ポジション	0.0184
ポルラン	0.0184
ポルラン・ノゲーラ	0.0103
マセーダ	0.0103
マドリード	0.0315
マノロ	0.0103
マラドーナ	0.0103
マーク	0.0103
ミゲル	0.0254
ミゲル・ポルラン	0.0103
ミゲル・ポルラン・ノゲーラ	0.0103
ミチェル	0.0184
ムニョス	0.0103
ムルシア	0.0103
メキシコ	0.0103
ヨーロッパ	0.0103
ラテン	0.0103
リング	0.0085
リンコン	0.0103
リーガ・エスパニョーラ	0.0103
リーグ	0.0205
レ	0.0315
レアル・マドリード	0.0103
レアル・マドリード・カスティージャ	0.0103
ロ	0.0103
ワールドカップ	0.0315
・	0.0205
一員	0.0103
一筋	0.0103
下さる	0.0103
下部	0.0103
事典	0.0103
人物	0.0085
仕事	0.0103
代表	0.0370
任す	0.0103
体重	0.0103
作る	0.0092
作成	0.0103
元	0.0103
出典	0.0308
出場	0.0315
出身	0.0103
加筆	0.0205
協力	0.0205
参加	0.0103
右	0.0103
名前	0.0092
国籍	0.0103
地	0.0103
基本	0.0103
大会	0.0103
女子	0.0103
存命	0.0103
守備	0.0103
年	0.0553
年生	0.0092
度々	0.0103
彼	0.0052
必要	0.0103
快足	0.0103
情報	0.0205
戦	0.0103
所属	0.0254
攻撃	0.0092
文字	0.0103
日	0.0308
時代	0.0103
書く	0.0205
月	0.0338
本名	0.0103
杯	0.0184
検索	0.0103
歳	0.0103
歴	0.0103
歴る	0.0205
求める	0.0205
現役	0.0103
生かす	0.0103
生年月日	0.0103
百科	0.0103
監督	0.0205
目次	0.0103
移動	0.0103
組織	0.0103
経歴	0.0184
編	0.0205
編集	0.0338
者	0.0169
育つ	0.0103
表	0.0205
表示	0.0368
要	0.0103
解説	0.0103
訂正	0.0205
記事	0.0205
話	0.0205
貢献	0.0103
身長	0.0103
連覇	0.0103
選手	0.0616
重要	0.0103
長ける	0.0103
関連	0.0205
非	0.0103
項目	0.0308
