	-0.3175
12	0.0152
1441	0.0152
1443	0.0152
1467	0.0152
1468	0.0152
1512	0.0152
1569	0.0152
1575	0.0152
2	0.0099
3	0.0608
9	0.0152
Wikipedia	0.0152
ある	0.0251
いる	0.0197
おお	0.0152
くる	0.0152
する	0.0736
ため	0.0273
ついに	0.0152
てる	0.0152
なる	0.0251
のぶ	0.0152
やすい	0.0152
ゆく	0.0152
よう	0.0207
ら	0.0304
られる	0.0546
れる	0.0090
ウィキペディア	0.0152
カテゴリ	0.0152
ナビゲーション	0.0152
フリー	0.0152
ヶ	0.0152
不詳	0.0152
丹波	0.0152
乱	0.0304
事典	0.0152
京都	0.0110
人物	0.0125
他	0.0152
代	0.0110
以降	0.0273
任	0.0152
但馬	0.0548
作成	0.0152
侵攻	0.0273
信長	0.0152
元年	0.0251
元春	0.0152
八木	0.0273
再度	0.0152
出典	0.0152
功	0.0152
勃発	0.0152
勢力	0.0273
原	0.0152
参加	0.0304
吉川	0.0152
呼ぶ	0.0136
命ずる	0.0152
和睦	0.0152
嘉吉	0.0456
四天王	0.0273
国	0.0760
国人	0.0273
国境	0.0152
垣屋	0.0273
城	0.0467
培う	0.0152
夜久野	0.0152
天正	0.0152
太田垣	0.0690
奮戦	0.0152
守備	0.0304
守護	0.0456
宗全	0.0273
実権	0.0152
家	0.0296
対立	0.0152
居城	0.0152
山名	0.0752
年	0.1637
延	0.0456
弟	0.0152
従軍	0.0152
応仁	0.0456
戦う	0.0152
戦国	0.0273
手薄	0.0152
持	0.0304
掌握	0.0152
撃退	0.0152
播磨	0.0152
擁立	0.0152
攻める	0.0273
方	0.0152
日本	0.0409
時代	0.0304
月	0.0125
有力	0.0152
検索	0.0152
正	0.0152
毛利	0.0273
氏	0.1364
永	0.0251
没年	0.0152
没落	0.0152
状態	0.0152
生	0.0152
田結庄	0.0273
百科	0.0152
禄	0.0136
秀吉	0.0273
移動	0.0152
竹田	0.0467
細川	0.0273
経営	0.0152
結果	0.0152
織田	0.0273
羽柴	0.0273
臣従	0.0152
致豊	0.0273
落城	0.0152
裏切る	0.0152
西陣	0.0152
討伐	0.0152
誠	0.0152
豊	0.0456
赤松	0.0152
軍	0.0152
輝	0.0376
配下	0.0152
離反	0.0152
領国	0.0152
