	-0.2002
1	0.0386
1891	0.0203
19	0.0227
1920	0.0227
1923	0.0113
1924	0.0113
1925	0.0227
1926	0.0082
1928	0.0113
1929	0.0113
1933	0.0102
1935	0.0113
1937	0.0203
1938	0.0113
1939	0.0113
1940	0.0113
1941	0.0227
1942	0.0187
1943	0.0113
1944	0.0087
1945	0.0113
1946	0.0113
1947	0.0340
1948	0.0113
1949	0.0113
1950	0.0113
1951	0.0113
1952	0.0113
1953	0.0113
1954	0.0113
1955	0.0113
1956	0.0227
1957	0.0113
1958	0.0340
1959	0.0113
1960	0.0187
1961	0.0093
1980	0.0113
1981	0.0093
2	0.0294
2000	0.0113
2001	0.0305
3	0.0227
34	0.0113
4	0.0102
5	0.0203
58	0.0102
67	0.0113
80	0.0113
9	0.0227
A	0.0227
Around	0.0113
Beau	0.0113
Benita	0.0113
Charles	0.0203
Cities	0.0113
Colman	0.0348
Condemned	0.0113
Dallas	0.0113
Days	0.0113
Double	0.0113
Eighty	0.0113
Failed	0.0113
Fan	0.0113
Geste	0.0113
Harvest	0.0113
Horizon	0.0113
Hume	0.0113
Lady	0.0113
Life	0.0113
Light	0.0113
Lost	0.0113
Masquerader	0.0113
Prison	0.0113
Random	0.0113
Raye	0.0113
Romola	0.0113
Ronald	0.0348
Sister	0.0113
Stella	0.0113
Tale	0.0113
That	0.0113
The	0.0238
Thelma	0.0113
Two	0.0113
White	0.0113
Wikipedia	0.0113
Windermere	0.0113
World	0.0113
Zenda	0.0113
in	0.0113
of	0.0134
s	0.0087
the	0.0073
ある	0.0093
いる	0.0073
げ	0.0113
する	0.0274
つもり	0.0113
なる	0.0373
ひる	0.0113
ゆく	0.0113
よう	0.0077
れる	0.0201
アカデミー	0.0203
アメリカ	0.0113
アレック・ギネス	0.0113
アーネスト・ボーグナイン	0.0113
イギリス	0.0245
イングランド	0.0113
インターネット	0.0113
ウィキペディア	0.0113
ウィキメディア・コモンズ	0.0113
ウィリアム・ホールデン	0.0113
ウィンダミア	0.0113
エンジニアリング	0.0102
キネマ旬報	0.0113
クーパー	0.0113
ケンブリッジ大学	0.0113
ゲイリー	0.0113
ゲーリー・クーパー	0.0113
コール	0.0906
サミュエル・ゴールドウィン	0.0113
サリー	0.0113
シスター	0.0113
ジェームズ・キャグニー	0.0113
スター	0.0340
ステラ・ダラス	0.0113
ゼンダ	0.0113
チャールトン	0.0113
デヴィッド・ニーヴン	0.0113
データベース	0.0113
トレードマーク	0.0113
トーキー	0.0113
ナビゲーション	0.0113
ハンフリー	0.0113
バート・ランカスター	0.0113
ビング・クロスビー	0.0113
フリー	0.0113
フレドリック・マーチ	0.0113
ブロデリック・クロフォード	0.0113
プロフィール	0.0203
ヘストン	0.0113
ベストテン	0.0113
ホセ・フェラー	0.0113
ホワイト	0.0113
ボガート	0.0113
ボー・ジェスト	0.0113
ポール	0.0113
マルチメディア	0.0113
マン	0.0906
マーロン・ブランド	0.0113
ムービー	0.0113
ユル・ブリンナー	0.0113
リスト	0.0113
リッチモンド	0.0227
リンク	0.0187
ルーカス	0.0113
レイ・ミランド	0.0113
ロナルド	0.0464
ロモラ	0.0113
ロンドン	0.0113
ローレンス・オリヴィエ	0.0113
・	0.0113
一	0.0113
一周	0.0113
三	0.0093
世界	0.0280
主	0.0203
主演	0.0227
事典	0.0113
二	0.0187
人	0.0113
人気	0.0227
代表	0.0082
仮面	0.0102
位	0.0102
作品	0.0077
俳優	0.0280
全	0.0113
出典	0.0113
出演	0.0453
出生	0.0113
出身	0.0113
博す	0.0113
受賞	0.0680
口ひげ	0.0113
各国	0.0102
呼ぶ	0.0102
商人	0.0113
回復	0.0102
国籍	0.0113
地	0.0113
地平線	0.0113
城	0.0087
外部	0.0203
大戦	0.0093
夫人	0.0113
失ふ	0.0113
学ぶ	0.0113
家庭	0.0113
嵐	0.0082
年	0.0508
年代	0.0113
年月日	0.0113
後	0.0113
従軍	0.0113
心	0.0113
扇	0.0113
数々	0.0113
断念	0.0113
旅路	0.0113
旗	0.0113
日	0.0453
日本	0.0203
日間	0.0113
映画	0.0113
曳く	0.0113
月	0.0373
期	0.0087
本名	0.0227
本国	0.0113
検索	0.0113
次	0.0087
歳	0.0113
歴る	0.0113
死	0.0102
没	0.0227
消える	0.0113
満	0.0113
灯	0.0113
父親	0.0102
生まれる	0.0113
生年月日	0.0113
生活	0.0203
男	0.0203
男優	0.0203
百科	0.0113
目次	0.0113
移動	0.0113
第	0.0203
編	0.0113
編集	0.0560
者	0.0560
舞台	0.0340
色	0.0113
英語	0.0113
虜	0.0113
行く	0.0113
表	0.0113
表示	0.0203
裕福	0.0113
話	0.0113
負傷	0.0113
賞	0.0280
配偶	0.0113
重	0.0227
関連	0.0340
除隊	0.0113
隠す	0.0113
非	0.0113
項目	0.0227
高い	0.0102
黎明	0.0113
