	-0.3439
1	0.0230
10	0.0068
11	0.0278
12	0.0203
13	0.0135
14	0.0068
1945	0.0135
1978	0.0068
1981	0.0056
1985	0.0182
2	0.0131
20	0.0068
2001	0.0061
2002	0.0303
2003	0.0068
2004	0.0068
2005	0.0052
2010	0.0068
24	0.0052
26	0.0068
3	0.0203
4	0.0242
5	0.0182
500	0.0061
6	0.0135
7	0.0121
8	0.0068
Action	0.0068
August	0.0068
BBC	0.0068
Breeze	0.0068
CA	0.0068
Daily	0.0068
Family	0.0068
Find	0.0068
Gov	0.0068
Grave	0.0068
Irv	0.0068
JDL	0.0383
Jew	0.0068
Leader	0.0068
Militant	0.0068
Online	0.0068
Report	0.0068
Rubin	0.0121
Sues	0.0068
The	0.0035
Torrance	0.0068
US	0.0068
Wikipedia	0.0068
a	0.0061
bid	0.0068
challenged	0.0068
of	0.0040
p	0.0052
s	0.0052
suicide	0.0068
t	0.0049
ある	0.0111
いる	0.0350
こと	0.0270
この	0.0303
これ	0.0068
する	0.1035
その	0.0068
その後	0.0203
ため	0.0061
ところ	0.0068
なる	0.0056
まず	0.0068
よう	0.0046
られる	0.0061
れる	0.0400
アシュリー	0.0068
アメリカ	0.0405
アメリカ合衆国	0.0061
アラブ	0.0068
アリゾナ	0.0068
アレックス・オデー	0.0068
アール	0.0121
アーヴ・ルービン	0.0121
イアン・シーゲル	0.0068
イスラエル	0.0135
ウィキペディア	0.0068
オデー	0.0121
カテゴリ	0.0068
カナダ	0.0068
カハ	0.0068
カリフォルニア	0.0068
クルー	0.0121
グラナダ・ヒルズ	0.0068
ゲル	0.0121
コンクリート	0.0052
サイト	0.0068
シェリー	0.0068
ジョージ	0.0068
ダレル・アイサ	0.0068
テロ	0.0207
テロリスト	0.0121
テロリズム	0.0068
ドル	0.0068
ナビゲーション	0.0068
パレスチナ	0.0068
ビル・メイニアーシ	0.0068
フェニックス	0.0068
フリー	0.0068
メイニアーシ	0.0068
メイル・カハネ	0.0121
メンバー	0.0056
メートル	0.0068
モスク	0.0068
モントリオール	0.0121
ユダヤ	0.0355
リンク	0.0111
ルービン	0.0508
ロサンゼルス	0.0121
一	0.0068
一般	0.0068
下	0.0135
不可解	0.0121
両親	0.0068
中心	0.0203
主張	0.0056
主義	0.0156
予告	0.0068
事件	0.0156
事典	0.0068
事務所	0.0097
人	0.0540
人々	0.0068
人物	0.0056
仕掛ける	0.0068
他殺	0.0068
任期	0.0068
作成	0.0068
修正	0.0068
俺	0.0068
党	0.0061
入れる	0.0068
入会	0.0068
入隊	0.0068
公式	0.0068
共謀	0.0121
出典	0.0068
分裂	0.0068
判決	0.0121
創設	0.0121
務める	0.0068
博士	0.0068
反	0.0056
受ける	0.0061
右翼	0.0068
同年	0.0068
同盟	0.0244
名前	0.0061
名誉	0.0068
否定	0.0068
吹き飛ばす	0.0068
呼びかける	0.0068
員	0.0061
団体	0.0056
国家	0.0046
報い	0.0068
場所	0.0061
墓	0.0135
外部	0.0121
多数	0.0068
失敗	0.0068
奴	0.0056
妻	0.0068
姉妹	0.0068
家	0.0131
容疑	0.0068
居住	0.0068
州	0.0121
市民	0.0104
年	0.0788
年生	0.0061
床	0.0068
引っ越す	0.0068
当時	0.0068
当然	0.0068
彼ら	0.0068
後	0.0068
得る	0.0135
懲役	0.0068
所	0.0068
手	0.0068
手渡す	0.0068
批判	0.0061
拍手	0.0068
拘置	0.0068
持つ	0.0068
挙がる	0.0068
支援	0.0056
政党	0.0061
政府	0.0068
政治	0.0135
施設	0.0068
日	0.0405
昇進	0.0068
月	0.0390
服役	0.0068
未だ	0.0068
検索	0.0068
極右	0.0121
構成	0.0068
権	0.0068
正義	0.0068
歴史	0.0121
死	0.0121
死亡	0.0068
死後	0.0068
残念	0.0068
殺害	0.0135
毀損	0.0068
没	0.0203
法廷	0.0068
活動	0.0303
派	0.0203
渡る	0.0052
満了	0.0068
無罪	0.0121
爆弾	0.0068
爆殺	0.0068
爆破	0.0121
生い立ち	0.0121
生まれる	0.0068
疑い	0.0068
発生	0.0068
発言	0.0068
白人	0.0061
百科	0.0068
的	0.0049
目次	0.0068
矯正	0.0068
社会	0.0061
移住	0.0068
移動	0.0068
穏健	0.0068
空軍	0.0068
系	0.0104
統治	0.0061
編集	0.0445
者	0.0111
脚注	0.0121
自宅	0.0068
自殺	0.0135
蔓延	0.0068
行う	0.0182
行動	0.0056
表示	0.0061
襲撃	0.0068
解決	0.0068
言い渡す	0.0068
言う	0.0068
計画	0.0135
記事	0.0068
訴訟	0.0061
議員	0.0121
議長	0.0121
起こす	0.0068
軍曹	0.0068
転落	0.0068
述べる	0.0135
送る	0.0068
連中	0.0068
逮捕	0.0334
遺族	0.0068
郊外	0.0068
長い	0.0068
開始	0.0068
関与	0.0068
関連	0.0135
閲覧	0.0068
闘争	0.0068
防止	0.0068
防衛	0.0242
除隊	0.0068
非	0.0068
非難	0.0135
項目	0.0135
