	-0.2508
000	0.0027
1	0.0494
10	0.0091
101	0.0030
11	0.0050
12	0.0030
13	0.0030
14	0.0030
1966	0.0108
1968	0.0030
1980	0.0030
1986	0.0030
1990	0.0023
1992	0.0030
2	0.0274
2000	0.0030
2004	0.0060
2007	0.0023
240	0.0030
3	0.0362
4	0.0217
49	0.0030
5	0.0135
6	0.0121
608	0.0075
7	0.0108
700	0.0030
8	0.0121
9	0.0030
94	0.0030
College	0.0030
JR	0.0030
Junior	0.0030
K	0.0025
KT	0.0030
Kokugakuin	0.0054
T	0.0025
Tochigi	0.0054
Wikipedia	0.0030
ある	0.0274
いずれ	0.0030
いる	0.0372
およそ	0.0060
おる	0.0023
かつて	0.0027
がく	0.0030
ぎたんきだいがく	0.0030
くいる	0.0030
くる	0.0030
こい	0.0030
この	0.0108
する	0.0122
だい	0.0030
とちる	0.0030
ない	0.0060
なさる	0.0030
なる	0.0274
の	0.0030
はじめ	0.0091
はじめて	0.0030
はな	0.0030
ほか	0.0423
もの	0.0060
れる	0.0179
アクセス	0.0060
ウィキプロジェクト	0.0030
ウィキペディア	0.0030
ウェブサイト	0.0030
カテゴリ	0.0030
キャンパス	0.0075
クラブ	0.0081
グラウンド	0.0030
コース	0.0025
コート	0.0054
サイト	0.0091
サンダル	0.0030
サークル	0.0054
シリーズ	0.0050
スズキ	0.0019
センター	0.0030
ソフトボール	0.0030
ダイワラクダ工業	0.0030
ダンス	0.0030
テニス	0.0054
テンプレート	0.0030
データ	0.0054
ナビゲーション	0.0030
ナース	0.0030
ニ	0.0027
バス	0.0025
バスケットボール	0.0030
バドミントン	0.0030
バレーボール・ハンドボール・フットサル・	0.0030
ビジネス	0.0027
フォークソング	0.0030
フリー	0.0030
ライフフーズ	0.0030
レストランエンタプライズ・ジェイティービー	0.0030
・	0.0060
一般	0.0211
一覧	0.0151
三越	0.0030
上履き	0.0030
下車	0.0030
両毛線	0.0030
中央大学	0.0030
中学	0.0060
中学校	0.0070
中村	0.0054
主	0.0027
主として	0.0030
久我山	0.0054
事典	0.0030
二	0.0174
二松学舎大学	0.0030
井上	0.0030
交通	0.0044
京都	0.0022
人	0.0151
人形	0.0027
