	-0.3478
1	0.0141
10	0.0069
11	0.0038
12	0.0092
13	0.0092
138	0.0046
15	0.0023
156	0.0041
1969	0.0069
1993	0.0092
1994	0.0023
1996	0.0046
1998	0.0041
1999	0.0023
2	0.0313
2000	0.0023
2001	0.0021
2002	0.0082
2003	0.0092
2004	0.0184
2005	0.0194
2006	0.0046
2007	0.0159
2008	0.0041
2009	0.0019
209	0.0023
21	0.0023
211	0.0023
29	0.0021
3	0.0276
30	0.0023
36	0.0023
38	0.0069
4	0.0165
41	0.0023
45	0.0023
5	0.0124
6	0.0207
7	0.0082
71	0.0023
8	0.0184
9	0.0069
BOOK	0.0023
CELLO	0.0041
COMICS	0.0023
DEAD	0.0023
GENITALIX	0.0023
Hybrid	0.0023
IKKI	0.0122
IN	0.0023
IS	0.0023
Japon	0.0023
KUARUPU	0.0023
LaLa	0.0023
Mhz	0.0041
MiChao	0.0023
PETRA	0.0023
SPINDLE	0.0023
STUDIO	0.0041
Vol	0.0069
Web	0.0023
Wikipedia	0.0023
a	0.0021
b	0.0023
chat	0.0023
et	0.0023
le	0.0041
pain	0.0023
vol	0.0083
あに	0.0023
あの	0.0023
あまり	0.0023
ある	0.0076
いう	0.0041
いが	0.0023
いく	0.0041
いち子	0.0023
いる	0.0477
うつ	0.0041
お	0.0046
おく	0.0023
おる	0.0106
かける	0.0023
こと	0.0138
この	0.0103
これ	0.0023
ころ	0.0021
ごと	0.0023
ざま	0.0023
しばしば	0.0023
しまう	0.0023
しらむ	0.0023
じゅん	0.0023
す	0.0041
すごい	0.0023
すべて	0.0046
する	0.0371
その	0.0046
そのまま	0.0023
その後	0.0023
そら	0.0071
それぞれ	0.0023
だいする	0.0023
っぱなし	0.0083
つけ	0.0023
つげ	0.0023
つもり	0.0023
できる	0.0023
とき	0.0023
となり	0.0023
ない	0.0046
なる	0.0095
の	0.0046
のち	0.0023
はいし	0.0023
はな	0.0023
はなし	0.0083
び	0.0092
びと	0.0041
ぷり	0.0023
ぺんてる	0.0023
ほか	0.0046
ほとんど	0.0069
まず	0.0023
まる	0.0023
もの	0.0115
やや	0.0023
よい	0.0046
よう	0.0016
よる	0.0057
られる	0.0021
れる	0.0204
アジア	0.0038
アドバイス	0.0023
アニメ	0.0046
アフタヌーン	0.0138
アルバイト	0.0023
アングレーム	0.0023
アンダルシア	0.0041
イマココ	0.0023
イラスト	0.0046
インタビュー	0.0115
ウィキペディア	0.0023
ウィキポータル	0.0023
エス	0.0023
エソラ	0.0057
エッセイ	0.0023
オトコ	0.0023
オール	0.0019
カテゴリ	0.0046
カバー	0.0023
カボチャ	0.0041
カラー	0.0023
ガルーダ	0.0023
キャラ	0.0023
クラブハウス	0.0041
クロニクル	0.0023
コミック	0.0033
コミック・イズ・デッド	0.0023
コラボ	0.0023
コラボブック	0.0023
コンテスト	0.0023
サイト	0.0023
サイレント	0.0023
シカ	0.0023
シリーズ	0.0057
ジャンル	0.0023
ジュゴン	0.0023
セリフ	0.0023
センター	0.0023
タマシイ	0.0071
ダンコンダラスコ	0.0023
チャグチャグ	0.0023
テーマ	0.0023
デビュー	0.0069
ト	0.0092
トトロ	0.0023
トルコ	0.0019
ドラえもん	0.0023
ナウ	0.0023
ナビゲーション	0.0023
ネタ	0.0023
ノミネート	0.0057
ノート	0.0023
ハンド	0.0023
パナ	0.0041
パラダイス	0.0023
ピテンカントロプス	0.0023
ファイブ	0.0041
ファン	0.0017
フランス語	0.0023
フリー	0.0046
ブック	0.0023
ブログ	0.0069
プラザ	0.0041
プロジェクト	0.0023
プロファイル	0.0041
ベストコミックブック	0.0023
ペン	0.0041
ボールペン	0.0071
マイナー	0.0046
マガジン	0.0046
マンガ	0.0104
メディア	0.0184
メディアファクトリー	0.0023
メモ	0.0041
モーニング	0.0023
リスト	0.0046
リトルフォレスト	0.0023
リトル・フォレスト	0.0083
リンク	0.0057
レット	0.0023
ヴィジュアル	0.0023
・	0.0069
一	0.0023
一志	0.0083
上	0.0023
上記	0.0023
下ろす	0.0023
下巻	0.0023
不思議	0.0046
不意	0.0023
世界	0.0057
中	0.0069
中学生	0.0046
主人公	0.0018
主催	0.0023
主題	0.0041
事件	0.0018
事典	0.0023
五十嵐	0.0201
交流	0.0046
人気	0.0023
人物	0.0170
仕事	0.0023
他	0.0023
付属	0.0023
代表	0.0017
以外	0.0018
以後	0.0023
以降	0.0041
仲	0.0017
伊坂	0.0023
似る	0.0023
住む	0.0023
何	0.0023
作	0.0047
作る	0.0021
作中	0.0023
作品	0.0258
作成	0.0023
作画	0.0023
作風	0.0069
併用	0.0023
使う	0.0069
使用	0.0041
依頼	0.0023
保護	0.0023
優秀	0.0122
元	0.0023
光	0.0019
児	0.0023
入り込む	0.0023
入れる	0.0023
全	0.0069
公式	0.0046
公言	0.0023
内	0.0021
再	0.0046
冒険	0.0023
冬	0.0069
出る	0.0023
出会う	0.0023
出入り	0.0023
出典	0.0069
出身	0.0046
刊行	0.0023
初めて	0.0023
初期	0.0021
前掲	0.0023
力	0.0023
化	0.0023
北欧	0.0023
卒業	0.0046
協会	0.0057
単行	0.0041
単行本	0.0023
原作	0.0023
参加	0.0023
友人	0.0046
友紀	0.0041
友香	0.0023
収録	0.0085
取る	0.0023
受ける	0.0082
受賞	0.0161
号	0.0437
各	0.0023
各地	0.0023
合併	0.0018
同	0.0021
同じく	0.0023
同上	0.0021
同年	0.0023
周辺	0.0023
営む	0.0023
囃子	0.0041
四季	0.0092
回	0.0186
国籍	0.0023
国際	0.0046
園	0.0023
在住	0.0023
地方	0.0023
埋もれる	0.0023
執筆	0.0041
基金	0.0023
埼玉	0.0022
境内	0.0023
境地	0.0023
売る	0.0023
変身	0.0041
夏	0.0046
夏休み	0.0023
外部	0.0041
多い	0.0046
多摩美術大学	0.0023
大二郎	0.0023
大介	0.0138
大学	0.0082
大宮	0.0041
大賞	0.0046
大阪芸術大学	0.0023
太郎	0.0014
奇妙	0.0023
奇想	0.0023
女性	0.0069
好き	0.0041
如実	0.0023
始まる	0.0023
始める	0.0062
子供	0.0165
子猫	0.0021
存命	0.0023
季刊	0.0023
学生	0.0023
学科	0.0009
学部	0.0023
守	0.0038
定規	0.0023
宝島社	0.0023
実体験	0.0023
実際	0.0023
家	0.0179
寄稿	0.0023
寺	0.0021
対談	0.0041
尊敬	0.0023
小さな	0.0023
小学	0.0017
小学生	0.0023
小学館	0.0023
小説	0.0017
少ない	0.0023
少女	0.0071
少年	0.0046
就職	0.0015
展	0.0023
岩手	0.0023
島田	0.0083
巻	0.0165
市	0.0041
常に	0.0023
年	0.1155
年刊	0.0023
年生	0.0021
幸太郎	0.0023
幻想	0.0023
幽い	0.0041
建築	0.0023
当初	0.0023
当時	0.0046
影響	0.0062
彼ら	0.0023
後	0.0069
復刊	0.0041
思う	0.0023
悦楽	0.0023
情景	0.0023
想定	0.0023
惹く	0.0023
意識	0.0023
愛	0.0023
愛読	0.0023
感じる	0.0023
成る	0.0023
所収	0.0023
手がける	0.0023
手塚	0.0041
投稿	0.0057
押井	0.0041
担当	0.0023
挑戦	0.0021
挙げる	0.0069
授業	0.0023
掌編	0.0023
推薦	0.0023
掲載	0.0046
描く	0.0368
描ける	0.0023
描写	0.0023
提供	0.0021
放つ	0.0023
散歩	0.0041
文化	0.0038
文化庁	0.0114
文庫	0.0023
文芸	0.0023
料理	0.0046
新	0.0023
新装	0.0023
旅行	0.0023
既刊	0.0041
日	0.0138
日々	0.0023
日向子	0.0023
日常	0.0023
日本	0.0186
日誌	0.0023
早々	0.0023
映像	0.0023
映子	0.0041
時	0.0021
時代	0.0046
時期	0.0021
普段	0.0023
暮らす	0.0023
書房	0.0023
最長	0.0023
月	0.0379
月刊	0.0437
期間	0.0023
木地	0.0041
未	0.0046
