	-0.2842
1	0.0085
12	0.0186
1867	0.0062
1924	0.0062
1931	0.0062
1955	0.0062
1960	0.0153
1982	0.0062
1983	0.0062
2	0.0282
200	0.0062
28	0.0186
3	0.0124
4	0.0167
47	0.0153
5	0.0111
6	0.0062
9	0.0062
Wikipedia	0.0062
ある	0.0153
いる	0.0322
おき	0.0062
おもろい	0.0062
かける	0.0062
こと	0.0062
こなす	0.0062
この	0.0111
する	0.0351
その	0.0248
ぢ	0.0062
ない	0.0062
なる	0.0102
もの	0.0124
やすい	0.0062
ゅうきゅうこてんおんがく	0.0062
よう	0.0254
より	0.0062
られる	0.0167
れる	0.0588
ウィキプロジェクト	0.0062
ウィキペディア	0.0062
カテゴリ	0.0062
ナビゲーション	0.0062
フリー	0.0062
ポータル	0.0062
リンク	0.0102
一	0.0062
一種	0.0062
一覧	0.0062
三	0.0153
上	0.0062
下さる	0.0062
不明	0.0062
与える	0.0062
世	0.0111
主	0.0223
事典	0.0062
人間	0.0153
今	0.0062
今日	0.0062
仕草	0.0062
以下	0.0062
以後	0.0062
以降	0.0056
伊差川	0.0062
会	0.0254
会派	0.0062
伝える	0.0062
伝わる	0.0062
伝承	0.0062
伝統	0.0186
住	0.0062
余	0.0062
作成	0.0062
作法	0.0111
作田	0.0153
使	0.0062
保存	0.0153
保持	0.0062
元	0.0062
兄弟子	0.0062
八	0.0062
冊	0.0062
冨	0.0331
出典	0.0062
出身	0.0062
創始	0.0062
創立	0.0062
劇場	0.0062
加える	0.0062
加筆	0.0062
化	0.0062
十	0.0062
協会	0.0153
協力	0.0062
厦高	0.0062
参考	0.0111
取り組む	0.0062
受ける	0.0056
口承	0.0062
古典	0.0745
周年	0.0062
呼ぶ	0.0111
命	0.0062
喜名	0.0153
四	0.0191
国	0.0062
国宝	0.0153
国男	0.0062
国立	0.0062
地	0.0062
城間	0.0062
場合	0.0062
士族	0.0062
声	0.0111
外部	0.0111
大	0.0062
大衆	0.0062
奏法	0.0062
奨励	0.0062
始まり	0.0062
姓	0.0062
学ぶ	0.0062
学べる	0.0062
安	0.0307
安い	0.0111
安室	0.0062
安富祖	0.0062
完成	0.0062
実績	0.0062
宮廷	0.0062
寄	0.0062
対称	0.0062
封	0.0062
少ない	0.0062
屋嘉	0.0062
島袋	0.0062
工	0.0307
師匠	0.0062
幕府	0.0062
平民	0.0062
年	0.0668
幸地	0.0062
幽谷	0.0111
広い	0.0111
弟子	0.0111
当流	0.0062
形	0.0062
後	0.0062
御座	0.0062
德太	0.0062
忠	0.0062
性	0.0062
悠久	0.0062
手	0.0062
打ち立てる	0.0062
技巧	0.0062
技法	0.0062
技術	0.0062
抑揚	0.0062
披露	0.0062
持	0.0062
指定	0.0191
挙げる	0.0062
接	0.0062
揚	0.0062
政策	0.0062
教養	0.0062
文化	0.0153
文化財	0.0224
文献	0.0111
新里	0.0062
方法	0.0062
日	0.0186
日本	0.0056
早	0.0062
昔	0.0062
昭和	0.0153
時代	0.0062
晩年	0.0062
暁	0.0062
曲	0.0254
曲目	0.0062
書く	0.0062
月	0.0153
朝	0.0191
朝一	0.0062
来歴	0.0111
松村	0.0062
検索	0.0062
楼	0.0062
楽	0.0062
楽曲	0.0191
楽譜	0.0153
概要	0.0124
様	0.0062
模	0.0062
欽定	0.0062
歌	0.0111
歌う	0.0062
歌唱	0.0062
歌詞	0.0062
正	0.0062
正雄	0.0062
残る	0.0062
比	0.0062
水	0.0111
水流	0.0224
求める	0.0062
江戸	0.0062
沖縄	0.0282
泰	0.0062
流	0.0490
流派	0.0191
深山	0.0111
湛	0.0282
演奏	0.0062
無形	0.0191
照	0.0153
特徴	0.0191
独特	0.0062
独自	0.0062
王	0.0062
王朝	0.0062
現在	0.0124
琉球	0.0409
瑞	0.0062
用いる	0.0062
異なる	0.0062
発刊	0.0062
百科	0.0062
的	0.0090
目次	0.0062
県	0.0224
知念	0.0111
礼	0.0062
祖	0.0331
秀	0.0062
称す	0.0153
移動	0.0062
種	0.0062
端	0.0062
節	0.0352
節回し	0.0062
築く	0.0062
簡素	0.0062
絃会	0.0062
絃聲	0.0191
組み合わせる	0.0062
組踊	0.0062
結果	0.0062
統	0.0062
継承	0.0062
続く	0.0062
総称	0.0062
線	0.0153
編纂	0.0062
編集	0.0512
績	0.0062
績高	0.0062
羽	0.0062
考え	0.0062
考察	0.0062
者	0.0153
聞覚	0.0191
舞踊	0.0062
薩摩	0.0062
藩	0.0062
表示	0.0056
複数	0.0062
見る	0.0056
親しむ	0.0111
親方	0.0111
訂正	0.0062
記念	0.0062
記載	0.0062
設立	0.0307
詳細	0.0062
認定	0.0191
誘い	0.0062
読み方	0.0062
誰	0.0062
諸鈍	0.0062
謡曲	0.0062
賢	0.0062
趙	0.0062
遇	0.0062
郎	0.0062
里	0.0062
重要	0.0062
野村	0.0331
関連	0.0186
附	0.0062
非	0.0062
音楽	0.1428
項目	0.0186
首	0.0062
高	0.0062
