	-0.2719
1	0.0253
10	0.0099
11	0.0020
15	0.0025
16	0.0074
1877	0.0025
1934	0.0022
1935	0.0025
1936	0.0025
1938	0.0049
1941	0.0049
1944	0.0038
1945	0.0049
1950	0.0124
1953	0.0025
1961	0.0041
1962	0.0049
1963	0.0025
1978	0.0025
1986	0.0025
1989	0.0049
1992	0.0025
1993	0.0025
1994	0.0049
1996	0.0025
1997	0.0022
1998	0.0022
2	0.0193
20	0.0025
200	0.0025
2001	0.0067
2002	0.0022
2005	0.0038
21	0.0099
25	0.0025
3	0.0272
4	0.0266
5	0.0089
6	0.0074
60	0.0049
7	0.0044
8	0.0049
9	0.0025
CARITAS	0.0025
GHQ	0.0025
JR	0.0099
S	0.0025
SEISEN	0.0044
University	0.0025
VERITAS	0.0025
Wikipedia	0.0025
et	0.0025
あしらう	0.0025
あふれる	0.0025
あらゆる	0.0025
ある	0.0082
いける	0.0025
いる	0.0096
およそ	0.0049
おる	0.0038
かう	0.0025
くる	0.0074
こと	0.0099
これ	0.0025
さ	0.0076
さらに	0.0041
する	0.0290
せい	0.0025
せいす	0.0025
せんじる	0.0025
その	0.0049
それら	0.0025
ため	0.0111
つける	0.0025
できる	0.0049
どの	0.0061
ない	0.0025
なぜ	0.0025
なる	0.0122
の	0.0074
ふう	0.0025
ほか	0.0025
まこと	0.0044
ますます	0.0025
もつ	0.0025
もの	0.0049
ょしだいがく	0.0025
よう	0.0051
りん	0.0025
れる	0.0249
アクセス	0.0049
イギリス	0.0018
イタリア	0.0025
イベント	0.0025
インターナショナル	0.0025
ウィキペディア	0.0025
ウェブサイト	0.0025
ウエルネスセンター	0.0025
エルネスティナ・ラマリョ	0.0044
カテゴリ	0.0025
カトリック	0.0044
ガーデン	0.0025
キャンパス	0.0163
キリスト	0.0155
キリスト教	0.0049
クラス	0.0025
クラブ	0.0044
コミュニケーション	0.0025
サイト	0.0074
サークル	0.0044
ジョサイア・コンドル	0.0025
スペイン	0.0146
センター	0.0124
データ	0.0044
ナビゲーション	0.0025
ネイティヴスピーカー	0.0025
パーティ	0.0022
ヒューマニズム	0.0044
ビジネス	0.0022
フィールドワーク	0.0022
フリー	0.0025
ホームステイ	0.0025
ボランティア	0.0025
マドリード	0.0019
マルセイユ	0.0025
メートル	0.0049
ラテンアメリカ	0.0025
ラファエラ・マリア	0.0025
リスト	0.0025
ルネサンス	0.0025
レベル	0.0025
・	0.0025
一人ひとり	0.0025
一覧	0.0074
三河	0.0025
三河台在旧志賀直哉邸	0.0025
上	0.0025
下	0.0025
下車	0.0074
世田谷	0.0022
世界	0.0082
丘	0.0025
中	0.0124
中学	0.0025
中島	0.0025
中途	0.0025
主体性	0.0025
事	0.0049
事典	0.0025
五反田	0.0061
交流	0.0074
交通	0.0018
京浜急行	0.0025
京浜東北	0.0025
人	0.0173
人数	0.0074
人文	0.0140
人格	0.0025
人物	0.0020
人間	0.0143
今日	0.0025
他国	0.0025
他者	0.0049
付属	0.0025
仙台	0.0025
休校	0.0049
会	0.0253
会員	0.0025
伝統	0.0025
伴う	0.0049
住宅	0.0025
佐佐木	0.0025
体	0.0025
体育	0.0044
余儀ない	0.0025
作る	0.0022
作成	0.0025
作曲	0.0022
作詞	0.0025
使う	0.0025
使徒	0.0025
使用	0.0022
侍女	0.0076
依頼	0.0025
価値	0.0044
保全	0.0019
保護	0.0025
信じる	0.0025
信綱	0.0025
修	0.0025
修士	0.0101
修業	0.0044
修道	0.0101
停止	0.0025
側面	0.0025
優しい	0.0025
元	0.0025
全体	0.0067
全焼	0.0049
公式	0.0074
公爵	0.0089
共に	0.0025
共同	0.0025
内	0.0022
再	0.0025
出典	0.0025
分	0.0074
分ける	0.0049
分野	0.0025
別	0.0067
制	0.0074
制定	0.0020
制度	0.0025
前身	0.0049
創る	0.0025
創立	0.0148
努める	0.0044
勃発	0.0025
募集	0.0025
区	0.0173
卒業	0.0025
卒業生	0.0074
協力	0.0025
単科	0.0025
博士	0.0049
参加	0.0049
参照	0.0022
収載	0.0025
可能	0.0049
台	0.0025
史	0.0122
各地	0.0025
各科	0.0044
各駅	0.0025
合	0.0025
合わせる	0.0025
吉田	0.0021
同	0.0022
同窓会	0.0025
名	0.0089
名称	0.0074
向かう	0.0025
周り	0.0025
呼ぶ	0.0044
品川	0.0272
問題	0.0025
四季	0.0025
団体	0.0082
囲む	0.0025
図書館	0.0025
国内	0.0025
国文学	0.0059
国際	0.0099
圏	0.0025
圏内	0.0025
土地	0.0025
在籍	0.0022
地域	0.0022
地球	0.0122
型	0.0015
基づく	0.0025
基礎	0.0044
基金	0.0049
埼京線	0.0025
変更	0.0054
夏期	0.0025
外国	0.0049
多	0.0019
多数	0.0025
大学	0.0377
大学院	0.0078
大崎	0.0044
大正	0.0022
天然記念物	0.0025
太平洋戦争	0.0025
太郎	0.0015
夫人	0.0025
奨学	0.0140
女	0.0022
女史	0.0025
女子	0.0074
女子大	0.0099
女学校	0.0044
女学院	0.0089
女性	0.0049
姉	0.0025
姉妹	0.0049
始まる	0.0025
委員	0.0025
子	0.0022
字	0.0025
存在	0.0025
学	0.0371
学び	0.0025
学ぶ	0.0074
学内	0.0044
学制	0.0044
学力	0.0025
学問	0.0049
学園	0.0099
学校	0.0122
学生	0.0148
学科	0.0145
学習	0.0049
学部	0.0074
学院	0.0124
学際	0.0025
宗教	0.0049
定員	0.0049
実現	0.0025
実践	0.0049
宮前平	0.0044
家	0.0016
家政	0.0044
宿舎	0.0025
寮	0.0101
対外	0.0049
対象	0.0049
専攻	0.0125
