	-0.3097
1	0.0074
10	0.0218
12	0.0109
135	0.0218
15	0.0109
1556	0.0109
1868	0.0109
1950	0.0109
2	0.0212
25	0.0109
3	0.0436
4	0.0391
5	0.0195
7	0.0195
830	0.0195
833	0.0109
JR	0.0109
Wikipedia	0.0109
あか	0.0109
ある	0.0090
いう	0.0195
いる	0.0424
うち	0.0109
かける	0.0109
かなり	0.0098
この	0.0293
これ	0.0109
じん	0.0109
する	0.0527
その後	0.0109
なべ	0.0109
のり	0.0327
まつり	0.0090
もの	0.0109
れる	0.0387
ウィキプロジェクト	0.0109
ウィキペディア	0.0109
カテゴリ	0.0109
ナビゲーション	0.0109
バスターミナル	0.0098
バス停	0.0109
フリー	0.0109
ポータル	0.0109
・	0.0109
丁目	0.0218
三田洞	0.0109
上	0.0109
下	0.0218
下さる	0.0109
下車	0.0109
主祭	0.0109
事典	0.0109
交通	0.0157
伊奈	0.0109
会館	0.0218
佐波	0.0195
作成	0.0109
例祭	0.0327
保護	0.0327
元	0.0109
元年	0.0090
八幡宮	0.0195
再建	0.0109
出典	0.0109
分	0.0218
分社	0.0109
初期	0.0195
別	0.0098
創建	0.0167
加筆	0.0109
加納	0.0195
勧請	0.0109
協力	0.0109
南北	0.0090
厚見	0.0109
受ける	0.0293
合わせる	0.0109
名古屋	0.0109
名鉄	0.0109
命	0.0109
土岐	0.0109
地区	0.0109
地域	0.0098
城	0.0334
城主	0.0090
売	0.0327
変更	0.0157
大神	0.0218
天	0.0269
奈良	0.0109
宇佐	0.0195
守護神	0.0109
宿禰	0.0269
寺	0.0098
尊	0.0109
小社	0.0109
屋敷	0.0109
岐阜	0.1198
岐阜バス	0.0109
川手	0.0109
市	0.0489
帶比	0.0109
年	0.1075
廃仏毀釈	0.0109
廃寺	0.0109
建立	0.0109
式内	0.0195
弘治	0.0109
当初	0.0109
後	0.0109
徒歩	0.0195
応神天皇	0.0195
息	0.0109
成就	0.0195
戦国	0.0098
戦災	0.0109
所在地	0.0327
斎藤	0.0195
日	0.0327
明治	0.0093
昭和	0.0090
時代	0.0545
書く	0.0109
月	0.0269
朝	0.0084
東大寺	0.0109
検索	0.0109
概略	0.0218
機関	0.0218
武内	0.0269
歴	0.0109
歴代	0.0098
死後	0.0109
比	0.0218
氏	0.0293
求める	0.0109
江戸	0.0109
波	0.0109
焼失	0.0098
産土神	0.0109
番	0.0218
番地	0.0218
百科	0.0109
皇后	0.0195
目次	0.0109
県	0.0393
社	0.0090
社格	0.0098
神	0.0109
神功	0.0195
神宮寺	0.0109
神社	0.0871
神道	0.0293
祭神	0.0334
移動	0.0109
空海	0.0109
竹鼻線	0.0109
笠松	0.0109
等	0.0098
線	0.0090
編	0.0109
編集	0.0359
織田	0.0098
者	0.0090
自動車	0.0218
茜部	0.0580
茜部寺屋敷	0.0195
荘	0.0218
荘園	0.0109
行き	0.0074
行く	0.0109
表	0.0109
表示	0.0098
西	0.0109
訂正	0.0109
記事	0.0109
話	0.0109
誉田	0.0109
道三	0.0109
郷社	0.0334
鉄道	0.0037
長	0.0436
関連	0.0109
院	0.0218
非	0.0109
項目	0.0109
駅	0.0091
高桑	0.0195
