	-0.2009
0	0.0599
1	0.0050
10	0.0218
11	0.0240
12	0.0145
13	0.0364
14	0.0218
15	0.0582
16	0.0291
17	0.0218
18	0.0196
19	0.0654
1948	0.0073
1949	0.0073
1950	0.0073
1951	0.0073
1952	0.0073
1953	0.0073
1954	0.0073
1955	0.0073
1956	0.0073
1957	0.0073
1958	0.0073
1959	0.0073
1960	0.0060
1961	0.0060
1962	0.0073
1963	0.0073
1964	0.0073
1965	0.0065
1966	0.0065
1967	0.0065
1968	0.0073
1969	0.0073
1970	0.0073
1971	0.0073
1972	0.0073
1973	0.0073
1974	0.0073
1975	0.0073
1976	0.0073
1977	0.0073
1978	0.0073
1979	0.0056
1980	0.0073
1981	0.0060
1982	0.0073
1983	0.0073
1984	0.0065
1985	0.0065
1986	0.0073
1987	0.0073
1988	0.0073
1989	0.0073
1990	0.0056
1991	0.0073
1992	0.0073
1993	0.0073
1994	0.0145
1995	0.0145
1996	0.0073
1997	0.0065
1998	0.0065
1999	0.0073
2	0.0094
20	0.0145
2000	0.0073
2001	0.0065
2002	0.0130
2003	0.0073
2004	0.0073
21	0.0145
22	0.0218
23	0.0145
24	0.0167
25	0.0218
26	0.0218
27	0.0436
28	0.0218
29	0.0196
3	0.1382
30	0.0073
31	0.0291
32	0.0145
33	0.0073
34	0.0073
35	0.0145
36	0.0145
37	0.0145
38	0.0145
39	0.0145
4	0.0326
40	0.0073
41	0.0073
42	0.0073
43	0.0073
44	0.0073
45	0.0073
46	0.0073
47	0.0060
48	0.0073
49	0.0073
5	0.0261
50	0.0145
51	0.0073
52	0.0073
53	0.0073
54	0.0065
55	0.0065
57	0.0073
6	0.0654
7	0.0196
8	0.0436
9	0.0218
NHK	0.0073
Wikipedia	0.0073
いる	0.0094
こい	0.0073
この	0.0065
する	0.0235
ぜん	0.0073
その	0.0073
ため	0.0130
できる	0.0073
ない	0.0073
ゃかいじん	0.0073
れる	0.0086
アナウンサー	0.0130
イベント	0.0073
ウィキペディア	0.0073
カップ	0.0073
カテゴリ	0.0073
サンケイ	0.0073
サントリー	0.0509
シーズン	0.0145
ジャパンラグビートップリーグ	0.0073
スポーツ	0.0056
チーム	0.0582
テレビ朝日	0.0105
トップ	0.0073
トヨタ	0.0413
トヨタ自動車	0.0436
トライ	0.0073
トーナメント	0.0180
ナビゲーション	0.0073
フリー	0.0073
プール	0.0073
マイクロソフト	0.0073
ラグビー	0.0218
ラグビーフットボール	0.0180
リコー	0.0262
リンク	0.0060
リーグ	0.0145
ワールド	0.0073
一覧	0.0073
三井化学	0.0073
三洋電機	0.0387
三菱自工	0.0223
上位	0.0145
両	0.0196
九州電力	0.0130
予選	0.0073
事典	0.0073
交互	0.0073
京都	0.0262
人	0.0145
今	0.0073
代替	0.0065
以前	0.0073
会場	0.0073
位	0.0065
住友	0.0073
作成	0.0073
備考	0.0073
優勝	0.0509
全国	0.0145
全国ネット	0.0073
八幡	0.0913
公団	0.0073
出典	0.0073
出場	0.0223
分ける	0.0073
創設	0.0065
各組	0.0073
回	0.0065
地区	0.0073
場	0.0052
外部	0.0065
大会	0.0800
大映	0.0073
太字	0.0073
奔別	0.0073
完全	0.0073
実況	0.0130
富士	0.0073
川崎重工	0.0073
工	0.0450
市役所	0.0073
年	0.0130
年度	0.0145
府中	0.0360
引き継ぐ	0.0073
当初	0.0073
役割	0.0073
後継	0.0073
得る	0.0073
成績	0.0065
戦	0.0218
抽選	0.0073
担当	0.0145
拡張	0.0065
放送	0.0145
数	0.0073
新日鉄	0.0436
日本	0.0457
時期	0.0065
最後	0.0065
朝日放送	0.0050
朝日新聞社	0.0073
杯	0.0065
東京	0.0165
東日本	0.0060
東芝	0.0582
枠	0.0060
検索	0.0073
模様	0.0073
権	0.0073
機械	0.0052
歴代	0.0065
毎年	0.0073
決勝	0.0261
準	0.0073
炭	0.0073
現存	0.0073
発展	0.0073
百科	0.0073
直接的	0.0073
社会	0.0130
社会人選手権	0.0073
神戸製鋼	0.0458
秩父宮	0.0073
移動	0.0073
競技	0.0028
系列	0.0060
組	0.0045
結果	0.0073
編集	0.0180
自	0.0727
行う	0.0065
製鉄	0.0498
西日本	0.0073
解消	0.0073
記録	0.0065
谷藤	0.0073
辞退	0.0073
近鉄	0.1309
近鉄花園ラグビー場	0.0073
進出	0.0218
選手権	0.0436
配	0.0073
釜石	0.0458
鉄	0.0065
開催	0.0073
関西	0.0073
