	-0.3029
0	0.0048
00	0.0058
005	0.0058
070	0.0058
1	0.0277
100	0.0058
107	0.0058
110	0.0058
12	0.0116
120	0.0058
125	0.0058
127	0.0058
129	0.0058
15	0.0058
160	0.0052
165	0.0058
17	0.0058
18	0.0156
2	0.0602
20	0.0058
200	0.0058
2003	0.0116
2004	0.0174
2007	0.0045
2008	0.0104
21	0.0058
22	0.0058
249	0.0058
25	0.0116
250	0.1335
28	0.0058
3	0.0174
325	0.0058
366	0.0058
37	0.0116
375	0.0058
4	0.0208
45	0.0058
450	0.0058
47	0.0048
5	0.0052
51	0.0058
54	0.0052
55	0.0104
57	0.0058
6000	0.0104
61	0.0116
733	0.0058
750	0.0116
770	0.0104
80	0.0058
866	0.0058
9	0.0116
90	0.0174
92	0.0058
A	0.0058
B	0.0058
C	0.0232
CDI	0.0058
DESIGN	0.0058
Etype	0.0309
M	0.0134
MODEL	0.0058
Nm	0.0104
PJ	0.0058
S	0.0290
SCEM	0.0058
SOHC	0.0058
ST	0.0493
STUDY	0.0058
SW	0.0058
Wikipedia	0.0058
cc	0.0058
kg	0.0232
kgm	0.0104
km	0.0085
l	0.0143
mm	0.0625
ps	0.0058
rpm	0.0104
¥	0.0058
°	0.0104
ある	0.0096
いる	0.0489
かける	0.0058
こと	0.0116
この	0.0104
ご	0.0058
じゅう	0.0058
する	0.0609
ため	0.0156
だす	0.0058
なる	0.0191
の	0.0058
ひゃく	0.0058
やすい	0.0058
よく	0.0058
れる	0.0687
アルミ	0.0058
イメージ	0.0058
ウィキペディア	0.0058
エスティー	0.0058
エンジン	0.0209
オプション	0.0058
オートバイ	0.0178
カスタマイズ	0.0178
カテゴリ	0.0058
カバー	0.0058
ガス	0.0104
ガソリン	0.0058
キック	0.0232
キャスター	0.0058
グラストラッカー	0.0058
グラデーション	0.0058
サイクル	0.0058
ショック	0.0058
シリンダー	0.0104
シングル	0.0048
シングルディスクブレーキ	0.0058
シンプル	0.0104
シート	0.0104
スイッチ	0.0058
スズキ	0.0287
スタンダード	0.0104
スターター	0.0058
ステップ	0.0058
ストリート	0.0058
ストローク	0.0058
スペック	0.0058
スポーク	0.0058
セパレート	0.0058
セル	0.0143
タイプ	0.0027
タイヤ	0.0058
タンク	0.0058
チェンジ	0.0058
ツイン	0.0058
デザインスタディモデル	0.0104
トランジスタ	0.0058
トルク	0.0058
トレール	0.0058
ナビゲーション	0.0058
ノスタルジック	0.0058
ハザード	0.0058
ハンドル	0.0058
バイク	0.0104
バック	0.0058
バルブ	0.0143
パッシングライト・スイッチ	0.0058
ビッグ	0.0058
フェンダー	0.0143
フォルム	0.0058
フューエルインジェクション	0.0058
フリー	0.0058
フル	0.0058
フロント	0.0058
フロントカウル	0.0058
ヘッドライト	0.0058
ベース	0.0058
ホイール	0.0058
ボルティ	0.0104
ボルティー	0.0178
ボーイ	0.0058
マイナー	0.0058
マニュアルデコンプ	0.0058
マフラー	0.0104
メッキ	0.0104
メーター	0.0058
モデル	0.0232
リヤタイヤ	0.0058
リンク	0.0096
レッグシールド	0.0058
レーサー	0.0058
万	0.0104
上	0.0116
上昇	0.0058
下さる	0.0058
世界	0.0048
両	0.0052
並	0.0058
乗る	0.0058
乾燥	0.0058
事典	0.0058
事実	0.0052
二	0.0048
以前	0.0058
伝導	0.0058
似る	0.0058
低	0.0058
作成	0.0058
併用	0.0058
価格	0.0143
個	0.0116
優れる	0.0058
元	0.0058
全国	0.0116
全幅	0.0058
全長	0.0058
共通	0.0116
円	0.0072
冷却	0.0058
出典	0.0058
出力	0.0058
出品	0.0116
初	0.0058
前後	0.0143
前期	0.0058
加える	0.0058
加工	0.0058
加筆	0.0058
効率	0.0058
化	0.0290
協力	0.0058
単	0.0116
参考	0.0052
口	0.0058
台	0.0174
同時に	0.0052
向上	0.0058
回	0.0104
圧縮	0.0058
地上	0.0052
型	0.0036
基本	0.0058
塗装	0.0058
増	0.0058
売	0.0058
変わる	0.0058
変更	0.0084
外部	0.0104
