	-0.2803
0	0.0207
000	0.0225
1	0.0086
107	0.0126
110	0.0063
13	0.0063
137	0.0063
193	0.0063
1969	0.0063
1972	0.0063
1974	0.0063
1985	0.0113
1997	0.0056
2	0.0081
28	0.0063
3	0.0314
30	0.0063
326	0.0063
33	0.0063
338	0.0063
36	0.0063
4	0.0056
44	0.0126
46	0.0063
49	0.0063
52	0.0063
55	0.0056
60	0.0063
766	0.0063
8	0.0126
9	0.0063
900	0.0113
TBS	0.0039
Wikipedia	0.0063
ha	0.0063
kW	0.0063
km	0.0031
m	0.0314
ある	0.0310
いう	0.0113
いる	0.0163
お	0.0063
おお	0.0063
おる	0.0096
ぐりがわ	0.0063
こ	0.0063
こと	0.0126
この	0.0169
これ	0.0063
これら	0.0052
さ	0.0096
じん	0.0063
する	0.0430
その	0.0063
たちまち	0.0063
ため	0.0056
ちなむ	0.0063
できる	0.0063
なる	0.0052
ほか	0.0063
まち	0.0063
まんが	0.0063
もの	0.0063
られる	0.0056
りゅう	0.0063
れる	0.0223
ウィキペディア	0.0063
ウィキメディア・コモンズ	0.0063
エネルギー	0.0063
オープニング	0.0048
カテゴリ	0.0126
ガリ	0.0063
クラ	0.0063
コンクリート	0.0193
ダム	0.2224
テプコ	0.0063
ナビゲーション	0.0063
フリー	0.0063
メートル	0.0063
リンク	0.0103
・	0.0063
一	0.0188
一部始終	0.0063
七	0.0063
七倉	0.0113
三国川	0.0155
上げる	0.0063
上水道	0.0113
上流	0.0126
下流	0.0113
不	0.0188
中	0.0063
中の沢	0.0063
中心	0.0063
主体	0.0063
乗る	0.0063
事典	0.0063
事業	0.0251
交通省	0.0314
人	0.0063
人造湖	0.0063
他	0.0063
伝わる	0.0063
伝説	0.0126
位置	0.0126
低下	0.0063
体積	0.0063
作成	0.0063
便覧	0.0063
信濃川	0.0226
倉	0.0063
像	0.0063
元	0.0063
入る	0.0063
全体	0.0056
公園	0.0045
内部	0.0063
冬	0.0063
出典	0.0063
出力	0.0063
分	0.0126
利水	0.0155
利用	0.0063
前田建設工業	0.0063
効果	0.0056
北アルプス	0.0063
北緯	0.0063
北陸	0.0188
匹	0.0063
協会	0.0052
博物館	0.0063
受ける	0.0056
右岸	0.0052
号	0.0063
同年	0.0063
名	0.0169
名所	0.0056
含める	0.0063
周辺	0.0188
唯一	0.0063
国土	0.0314
地元	0.0056
地方	0.0188
型式	0.0063
域	0.0056
基本	0.0063
堤	0.0188
増水	0.0063
外部	0.0113
多	0.0048
多目的	0.0188
大	0.0126
大正	0.0056
大町	0.1381
大雨	0.0063
太郎	0.0078
契機	0.0063
子	0.0113
字	0.0126
完成	0.0063
定量	0.0063
実施	0.0113
室	0.0126
容量	0.0113
小太郎	0.0063
少年	0.0063
局	0.0188
工事	0.0052
左岸	0.0063
市	0.0450
市街地	0.0063
平	0.0126
平成	0.0063
年	0.0788
広い	0.0056
度	0.0126
廊	0.0063
建設	0.0169
建設省	0.0063
式	0.0251
急流	0.0113
所	0.0628
所在地	0.0063
抑える	0.0063
揚水	0.0063
改訂	0.0052
放流	0.0155
放送	0.0063
整備	0.0188
新	0.0063
新潟	0.0034
施工	0.0063
日本	0.0169
昔ばなし	0.0063
昭和	0.0207
時代	0.0063
月	0.0155
有効	0.0063
木崎	0.0063
東京電力	0.0193
東経	0.0056
検索	0.0063
業者	0.0063
槍ヶ岳	0.0113
歴	0.0063
歴史	0.0113
母子	0.0063
水	0.0056
水位	0.0063
水力	0.0155
水害	0.0126
水源	0.0063
水系	0.0226
水量	0.0063
水面	0.0063
沢	0.0063
河川	0.0155
泉	0.0063
法人	0.0063
洪水	0.0155
流域	0.0113
渓谷	0.0063
湖	0.0466
湖岸	0.0063
湛	0.0041
物語	0.0056
特に	0.0063
特定	0.0225
犀	0.0113
犀川	0.0063
現	0.0063
申し込み	0.0063
発電	0.0377
百科	0.0063
的	0.0045
監査	0.0063
目次	0.0063
目的	0.0251
直下	0.0063
直轄	0.0113
県	0.0272
着工	0.0056
着手	0.0063
知る	0.0126
秒	0.0113
移動	0.0063
積	0.0063
竜	0.0188
竣工	0.0056
童話	0.0063
筋	0.0126
管理	0.0056
系列	0.0052
紅葉	0.0063
総	0.0063
総合	0.0126
線	0.0052
編	0.0063
編集	0.0207
者	0.0052
背中	0.0063
表	0.0063
表示	0.0056
被害	0.0063
襲う	0.0063
西	0.0063
見る	0.0056
見学	0.0063
見舞う	0.0063
規模	0.0063
視界	0.0063
計画	0.0188
試験	0.0063
話	0.0063
認可	0.0063
調整	0.0063
調節	0.0155
諸	0.0063
豊富	0.0063
豪雨	0.0063
財団	0.0063
貯水	0.0113
資料	0.0126
逆	0.0063
進む	0.0063
進める	0.0063
過ぎる	0.0063
道	0.0052
部分	0.0056
重力	0.0193
銅像	0.0063
長	0.0063
長野	0.0259
開放	0.0056
開発	0.0096
間もなく	0.0063
間組	0.0063
関連	0.0188
降る	0.0063
階	0.0063
電気	0.0056
青木	0.0063
非	0.0063
面積	0.0056
頂	0.0063
項目	0.0126
飛騨山脈	0.0063
館	0.0063
馬返し	0.0063
馴染み	0.0063
高	0.0063
高い	0.0056
高瀬	0.0155
高瀬川	0.0502
魚野川	0.0063
龍	0.0126
龍神	0.0225
