	-0.2127
″	0.3895
″。	0.1926
⊂	0.1398
ぅ	0.0779
ぉ	0.0779
ご	0.0779
する	0.0629
ま	0.0779
もぉ	0.0779
ょ	0.1398
ょま	0.1398
ょまごめ	0.0779
ょょ	0.0779
ょょぅご	0.0779
丶	0.0779
今日	0.0779
天気	0.0779
客	0.1558
市	0.0699
木	0.0779
良い	0.0779
茶	0.0699
食	0.0699
､	0.1926
ｶ	0.0779
ｷ	0.1398
ﾅ	0.2809
ﾅﾆ	0.1398
ﾚ	0.1926
ﾚヽ	0.2392
￡	0.1398
