	-0.2767
ポータル	0.0030
マ	0.0030
マジカル	0.0030
マネージャー	0.0030
ママハハ・ブギ	0.0030
ミスター	0.0030
ミステリー	0.0030
ミッション	0.0030
ムーン	0.0030
メール	0.0061
モノ	0.0030
ヤング	0.0030
ヨロシク	0.0030
ラクダ	0.0030
ラジオ	0.0333
ランプ	0.0030
リスナー	0.0030
レギュラー	0.0030
レッツ・ラ・ゴー	0.0030
レース	0.0030
ワーワーブーブー	0.0030
・	0.0061
ー	0.0054
一	0.0030
一時期	0.0030
一義	0.0030
一覧	0.0030
七	0.0030
万物	0.0030
上	0.0030
下さる	0.0030
不定期	0.0030
不思議	0.0030
不明	0.0030
不良	0.0030
世代	0.0030
世田谷	0.0054
世界	0.0125
世紀	0.0061
中	0.0091
中国	0.0025
中部日本放送	0.0030
丸	0.0030
主	0.0054
予備校	0.0030
事典	0.0030
二	0.0100
人	0.0212
人物	0.0050
人間	0.0025
人類	0.0007
今夜	0.0030
今週	0.0030
仕事	0.0030
付	0.0030
仰天	0.0030
企画	0.0054
伝	0.0030
体	0.0030
体験	0.0030
作品	0.0010
作成	0.0030
使い	0.0030
俺	0.0030
偉大	0.0030
健吾	0.0054
僕	0.0054
億	0.0061
元	0.0030
元祖	0.0030
入る	0.0030
入れる	0.0061
公式	0.0030
内	0.0027
内包	0.0021
内容	0.0061
冒険	0.0030
冒頭	0.0061
出す	0.0025
出せる	0.0030
出る	0.0061
出典	0.0030
出演	0.0121
列島	0.0030
前	0.0091
前後	0.0050
創	0.0030
劇場	0.0030
劇的	0.0054
加減	0.0030
加筆	0.0030
効	0.0075
効果	0.0027
勝つ	0.0030
勝手	0.0030
募集	0.0061
勤	0.0030
北日本放送	0.0030
北陸放送	0.0030
協力	0.0030
単発	0.0030
印	0.0061
危機	0.0030
台	0.0030
史	0.0050
右	0.0030
号	0.0061
合格	0.0030
吉	0.0061
同じ	0.0030
同局	0.0030
同時	0.0054
同然	0.0030
同級生	0.0030
名	0.0136
名作	0.0030
名前	0.0027
君	0.0054
告知	0.0030
唄	0.0030
商人	0.0030
営業	0.0027
回	0.0081
土曜	0.0061
圭	0.0030
域	0.0027
報告	0.0030
増刊	0.0030
声色	0.0030
変遷	0.0054
夕やけ	0.0030
夕方	0.0030
夜	0.0075
夜曲	0.0030
夢	0.0061
夢見る	0.0030
大	0.0121
大人	0.0027
大学	0.0027
大河	0.0030
大賞	0.0030
天国	0.0054
天才	0.0054
太田	0.0091
失敗	0.0030
奇跡	0.0030
奴	0.0025
好き	0.0027
娘	0.0054
子	0.0054
子供	0.0027
学校	0.0019
安全	0.0027
家族	0.0030
寿司	0.0030
小学生	0.0030
小片	0.0030
少年	0.0061
局	0.0151
屋	0.0030
山中	0.0030
山陰放送	0.0030
山陽放送	0.0030
峠	0.0030
工場	0.0019
帖	0.0030
帯	0.0030
平	0.0030
年	0.0244
年中	0.0030
広報	0.0030
広島	0.0027
店	0.0081
弁当	0.0013
強盗	0.0030
後	0.0030
徳光	0.0054
心配	0.0030
志村	0.0030
快	0.0030
怒り	0.0030
怒る	0.0027
恋	0.0121
愛	0.0030
愛知	0.0030
成る	0.0030
成功	0.0030
戦	0.0030
戦う	0.0030
所	0.1938
所在地	0.0030
所沢	0.0030
手	0.0030
才	0.0030
持ち込む	0.0030
捕物	0.0030
捧げる	0.0030
握飯	0.0030
擬音	0.0030
改名	0.0030
改造	0.0054
放映	0.0030
放課後	0.0030
放送	0.0363
故郷	0.0030
教える	0.0030
新書	0.0025
方	0.0091
方式	0.0030
旅	0.0030
日	0.0151
日大	0.0030
日曜	0.0109
日本	0.0054
日本テレビ	0.0014
日本語	0.0025
明石	0.0030
明石家	0.0054
春一番	0.0030
時	0.0054
時間	0.0061
時間割	0.0109
曲	0.0021
書く	0.0030
最後	0.0027
最終	0.0061
月	0.0200
月光	0.0030
月曜	0.0151
月曜日	0.0030
期間	0.0030
本名	0.0030
本物	0.0030
本社	0.0054
来週	0.0054
東京	0.0069
森田	0.0030
検索	0.0030
楽しむ	0.0030
構成	0.0030
様	0.0061
模様	0.0030
機会	0.0030
次	0.0023
欲しい	0.0030
歓声	0.0075
正しい	0.0030
正気	0.0030
正男	0.0030
武	0.0081
歩く	0.0030
歳	0.0030
歴	0.0061
殿堂	0.0030
毎回	0.0030
毎週	0.0242
気持ち	0.0030
求める	0.0030
決まる	0.0030
決定	0.0023
沙汰	0.0030
泉谷	0.0030
洗う	0.0030
洗濯	0.0030
流す	0.0030
海峡	0.0030
海賊	0.0030
清水	0.0030
為	0.0030
無罪	0.0027
焦る	0.0030
熱っぽい	0.0030
熱心	0.0030
爆弾	0.0030
爆笑	0.0030
物語	0.0054
特に	0.0030
特別	0.0030
特大	0.0030
特捜	0.0030
犬	0.0075
狂騒	0.0030
狙う	0.0030
玉	0.0030
王座	0.0014
現れる	0.0030
現代	0.0030
現在	0.0061
現金	0.0030
生鮮	0.0030
男	0.0027
画	0.0030
界	0.0030
番組	0.0757
白あん	0.0030
白い	0.0030
白書	0.0030
百科	0.0030
的	0.0022
盗	0.0027
目	0.0023
目次	0.0030
直子	0.0030
直己	0.0054
相変わらず	0.0030
県	0.0044
真っ暗	0.0030
石鹸	0.0019
祭典	0.0030
私	0.0050
私物	0.0030
秋	0.0025
秘	0.0030
移動	0.0030
移籍	0.0025
突撃	0.0030
笑う	0.0182
第	0.0054
等	0.0027
紹介	0.0030
終了	0.0061
結果	0.0030
統計	0.0030
絶滅	0.0030
締め	0.0030
締めくくる	0.0030
編	0.0091
編成	0.0027
編集	0.0225
群像	0.0030
者	0.0075
聞く	0.0091
脱水	0.0030
自動車	0.0030
色	0.0030
花道	0.0030
芸能	0.0030
苦労	0.0030
茜	0.0030
萬	0.0054
落書	0.0054
蛇足	0.0030
行く	0.0030
表	0.0061
表示	0.0054
裏番組	0.0030
西日本放送	0.0030
見え	0.0030
見る	0.0027
解体	0.0030
言う	0.0091
言葉	0.0030
訂正	0.0030
記事	0.0030
記載	0.0030
記録	0.0027
許す	0.0030
話	0.0061
読む	0.0030
調査	0.0027
諦める	0.0030
講座	0.0030
貝	0.0030
販売	0.0023
貫	0.0030
買う	0.0061
質問	0.0030
超	0.0061
足かけ	0.0030
車	0.0030
農家	0.0030
迎春	0.0030
近	0.0030
追いかける	0.0030
追跡	0.0030
逆襲	0.0030
逆転	0.0030
途中	0.0023
週	0.0030
進める	0.0030
進撃	0.0030
遊び	0.0027
遊記	0.0054
違う	0.0030
邦	0.0030
部	0.0061
都合	0.0027
野球	0.0030
量販	0.0030
銀座	0.0030
銀行	0.0054
録音	0.0030
長	0.0030
門	0.0027
間違う	0.0061
関根	0.0030
関連	0.0151
降る	0.0030
降板	0.0075
隊	0.0061
際	0.0030
雨	0.0027
青春	0.0061
非	0.0030
音	0.0093
項目	0.0121
頭脳	0.0030
頼む	0.0030
類	0.0030
風	0.0030
風呂	0.0054
駅	0.0013
駒田	0.0054
騒がせる	0.0030
魔法	0.0030
魚介	0.0030
