	-0.2238
1	0.0180
100	0.0066
17	0.0066
1966	0.0119
1967	0.0059
1971	0.0066
2	0.0428
20	0.0066
2002	0.0059
2004	0.0066
2007	0.0051
28	0.0066
3	0.0330
30	0.0066
39	0.0066
4	0.0178
40	0.0066
400	0.0066
5	0.0059
500	0.0059
54	0.0059
6	0.0066
800	0.0132
HP	0.0066
JR	0.0066
P	0.0051
PJ	0.0066
Wikipedia	0.0066
m	0.0198
mX	0.0066
あげる	0.0066
ある	0.0163
いる	0.0343
うん	0.0066
おる	0.0051
かける	0.0066
くる	0.0066
くん	0.0066
ぐるっと	0.0066
こうえん	0.0066
こと	0.0132
こども	0.0066
この	0.0178
ごころ	0.0066
さ	0.0051
さいたま	0.0203
さき	0.0163
しる	0.0066
すぐ	0.0066
する	0.0346
それ	0.0066
たま	0.0119
ため	0.0059
つぶし	0.0066
できる	0.0132
どう	0.0066
ない	0.0066
なる	0.0054
はな	0.0066
ま	0.0132
みる	0.0066
もともと	0.0066
れる	0.0313
アクセス	0.0264
アリーナ	0.0066
イメージ	0.0066
ウィキペディア	0.0066
ウエスト	0.0066
ウレタン	0.0066
エリア	0.0238
カテゴリ	0.0066
コース	0.0163
サッカー	0.0043
ジョギング	0.0119
スタジアム	0.0066
スタンド	0.0119
スポーツ	0.0203
センター	0.0066
チップ	0.0066
チーム	0.0066
トラック	0.0066
ナビゲーション	0.0066
バス	0.0055
バス停	0.0066
フィールド	0.0066
フリー	0.0066
ブランコ	0.0066
プール	0.0066
メイン	0.0132
モットー	0.0066
ラグビー	0.0066
リンク	0.0109
ヶ	0.0066
・	0.0066
一時	0.0066
上	0.0066
上尾	0.0468
下さる	0.0066
下記	0.0066
下車	0.0066
丘	0.0066
丘陵	0.0066
両神	0.0066
中央	0.0036
主	0.0119
久喜	0.0066
事	0.0066
事典	0.0066
事務所	0.0048
人	0.0132
人数	0.0066
以外	0.0051
会場	0.0066
体操	0.0066
体育	0.0119
体育館	0.0163
作成	0.0066
使用	0.0119
健康	0.0066
側	0.0066
備える	0.0119
先代	0.0066
児童	0.0119
入間	0.0066
公園	0.2001
公式	0.0066
公認	0.0066
内	0.0059
出典	0.0066
分	0.0066
前年	0.0066
加える	0.0066
加筆	0.0066
加須	0.0066
動物	0.0132
北本	0.0066
北浦和	0.0066
北部	0.0059
卓球	0.0066
協力	0.0132
南	0.0066
参照	0.0059
反対	0.0066
収容	0.0119
古墳	0.0066
可能	0.0066
台	0.0066
号	0.0066
合わせる	0.0066
吉川	0.0066
吉見	0.0066
名称	0.0066
含める	0.0066
周	0.0132
和光	0.0066
国	0.0066
国体	0.0238
国民	0.0119
国道	0.0132
園	0.0066
土盛り	0.0066
地方	0.0132
埋め込む	0.0066
埼玉	0.0468
場	0.0715
場所	0.0059
外部	0.0119
大会	0.0198
大分	0.0132
大宮公園	0.0066
大麻生	0.0066
奥	0.0066
存在	0.0066
安行	0.0066
完成	0.0132
室内	0.0066
専用	0.0059
川越	0.0066
工事	0.0054
市	0.0474
市営	0.0066
平方メートル	0.0066
年	0.0356
度目	0.0066
建て	0.0066
彩	0.0119
徒歩	0.0059
循環	0.0066
情報	0.0066
愛宕	0.0132
戸田公園	0.0066
所在	0.0066
所在地	0.0066
所有	0.0066
所沢	0.0066
抑える	0.0066
持つ	0.0066
挟む	0.0066
文化	0.0109
新座	0.0066
施設	0.0396
日本	0.0059
時	0.0059
書く	0.0066
有す	0.0066
本	0.0066
東武	0.0066
東部	0.0059
柱	0.0066
森	0.0198
森林公園	0.0066
検索	0.0066
概要	0.0132
構成	0.0066
権現堂	0.0066
樹林	0.0066
次代	0.0066
正式	0.0066
武	0.0119
武甲	0.0066
武蔵	0.0066
歴	0.0066
比企	0.0066
水上	0.0396
水族館	0.0066
水郷	0.0066
求める	0.0066
沿い	0.0066
清新	0.0203
滑り台	0.0066
瀬	0.0066
炬火	0.0066
照明	0.0066
熊谷	0.0119
狭山	0.0119
玉淀	0.0066
現	0.0066
球技	0.0119
百科	0.0066
的	0.0048
目次	0.0066
県	0.0619
県営	0.0119
県民	0.0132
県立	0.0396
研究	0.0066
砲丸投げ	0.0066
福井	0.0109
秋	0.0054
秩父	0.0119
秩父ミューズパーク	0.0066
移動	0.0066
移設	0.0035
移転	0.0066
種	0.0066
稲荷山公園	0.0066
競技	0.0543
第	0.0059
等	0.0059
管理	0.0059
約	0.0066
総合	0.0132
緑	0.0270
線	0.0054
編	0.0066
編集	0.0490
羽生	0.0066
者	0.0163
耐震	0.0066
能力	0.0051
自然	0.0925
航空	0.0066
花の里	0.0066
荒川	0.0066
菖蒲	0.0066
行なう	0.0059
表	0.0066
表示	0.0119
補助	0.0119
補強	0.0066
製	0.0066
西	0.0066
西部	0.0066
観察	0.0066
訂正	0.0066
記念	0.0066
設置	0.0051
試験場	0.0119
話	0.0066
負担	0.0066
走り幅跳び	0.0066
足腰	0.0066
農林	0.0066
農業	0.0066
連盟	0.0066
遊具	0.0066
遊園	0.0119
運動公園	0.0416
運用	0.0066
道	0.0272
都市	0.0059
鉄筋コンクリート	0.0066
長瀞	0.0066
開催	0.0330
開場	0.0066
関東	0.0132
関連	0.0066
陸上	0.0468
階	0.0066
隠す	0.0066
非	0.0066
面積	0.0059
項目	0.0132
駅	0.0027
高崎	0.0066
黒山	0.0066
