

	0.0204

 	0.0660

1	0.0267

2	0.0065

3	0.0012

4	0.0012

5	0.0024

6	0.0012

7	0.0012

8	0.0012

9	0.0012

○	0.0022

「	0.0048

ま	0.0011

カ	0.0036

ケ	0.0012

ス	0.0012

ロ	0.0012

一	0.0011

二	0.0024

京	0.0012

今	0.0012

停	0.0012

全	0.0022

凡	0.0012

出	0.0012

前	0.0011

大	0.0012

天	0.0048

奈	0.0012

平	0.0024

廃	0.0012

日	0.0012

普	0.0012

標	0.0012

橿	0.0012

特	0.0012

狭	0.0012

目	0.0012

直	0.0012

相	0.0012

移	0.0012

線	0.0012

複	0.0012

詳	0.0009

路	0.0022

軌	0.0022

近	0.0024

閉	0.0012

関	0.0012

電	0.0024

駅	0.0020
 
	0.0822
  	0.1736
 0	0.0070
 1	0.0254
 2	0.0040
 3	0.0097
 4	0.0133
 5	0.0073
 7	0.0033
 8	0.0011
 9	0.0024
 I	0.0048
 J	0.0010
 K	0.0010
 V	0.0012
 k	0.0011
 m	0.0012
 ↑	0.0012
 ↓	0.0012
 ●	0.0037
 。	0.0010
 」	0.0012
 け	0.0012
 そ	0.0024
 ナ	0.0012
 フ	0.0012
 ヘ	0.0010
 二	0.0036
 京	0.0024
 伊	0.0024
 使	0.0011
 保	0.0024
 信	0.0007
 八	0.0024
 内	0.0011
 出	0.0012
 前	0.0012
 北	0.0012
 南	0.0022
 印	0.0012
 参	0.0022
 吉	0.0012
 同	0.0022
 名	0.0012
 営	0.0012
 大	0.0121
 天	0.0242
 奈	0.0024
 富	0.0012
 小	0.0012
 山	0.0024
 平	0.0065
 廃	0.0022
 御	0.0012
 徳	0.0011
 志	0.0022
 急	0.0022
 所	0.0011
 接	0.0012
 新	0.0011
 旧	0.0012
 東	0.0012
 桜	0.0010
 検	0.0012
 橿	0.0022
 歴	0.0022
 河	0.0012
 法	0.0024
 湯	0.0012
 特	0.0011
 生	0.0024
 田	0.0012
 直	0.0012
 稼	0.0012
 編	0.0100
 脚	0.0022
 葛	0.0012
 表	0.0024
 西	0.0024
 諸	0.0024
 路	0.0022
 車	0.0022
 近	0.0109
 通	0.0022
 運	0.0017
 道	0.0011
 鈴	0.0012
 長	0.0024
 関	0.0073
 阪	0.0012
 隠	0.0012
 難	0.0037
 電	0.0012
 非	0.0012
 額	0.0022
 養	0.0010
 駅	0.0026
 鳥	0.0011
 （	0.0012
0 	0.0074
00	0.0196
01	0.0024
02	0.0011
03	0.0011
04	0.0012
05	0.0019
06	0.0024
07	0.0009
08	0.0024
09	0.0061
0V	0.0030
0分	0.0012
0年	0.0061
0日	0.0044
0月	0.0024
0系	0.0030
1 	0.0105
10	0.0073
11	0.0030
12	0.0036
13	0.0024
14	0.0036
15	0.0047
16	0.0024
18	0.0012
19	0.0350
1」	0.0022
1年	0.0085
1往	0.0012
1日	0.0145
1月	0.0024
1本	0.0030
2 	0.0052
20	0.0206
21	0.0061
22	0.0048
24	0.0012
26	0.0012
27	0.0036
28	0.0024
29	0.0011
2k	0.0012
2m	0.0033
2」	0.0012
2両	0.0012
2年	0.0085
2日	0.0012
2月	0.0073
2本	0.0012
3
	0.0012
3 	0.0109
30	0.0033
32	0.0048
35	0.0033
39	0.0012
3年	0.0109
3月	0.0052
3種	0.0012
4 	0.0133
41	0.0011
43	0.0073
44	0.0022
45	0.0048
48	0.0024
4X	0.0012
4両	0.0024
4年	0.0048
4日	0.0011
4月	0.0036
4本	0.0012
4駅	0.0012
5
	0.0012
5 	0.0085
50	0.0061
52	0.0024
58	0.0036
5k	0.0010
5m	0.0022
5年	0.0065
5日	0.0012
5月	0.0011
6 	0.0022
60	0.0010
62	0.0036
63	0.0024
64	0.0024
65	0.0024
67	0.0011
68	0.0010
69	0.0012
6両	0.0036
6年	0.0030
6月	0.0024
7 	0.0022
70	0.0009
72	0.0011
73	0.0012
76	0.0036
78	0.0012
79	0.0012
7m	0.0012
7年	0.0026
7日	0.0024
7月	0.0012
8
	0.0011
8 	0.0022
82	0.0012
86	0.0024
88	0.0024
8号	0.0012
8年	0.0133
9 	0.0022
90	0.0033
91	0.0033
92	0.0133
93	0.0036
94	0.0054
95	0.0024
96	0.0043
97	0.0043
98	0.0043
99	0.0033
9年	0.0073
9月	0.0024
AI	0.0024
AN	0.0024
AT	0.0012
Aが	0.0012
Aの	0.0012
BN	0.0048
CA	0.0022
CO	0.0024
DF	0.0011
F 	0.0012
IC	0.0022
IS	0.0048
I対	0.0022
Jス	0.0048
KA	0.0022
KO	0.0011
K）	0.0012
MO	0.0009
N 	0.0043
NS	0.0024
OC	0.0024
OS	0.0017
PD	0.0011
Pa	0.0022
Pi	0.0024
S 	0.0012
SA	0.0024
SB	0.0048
SM	0.0012
S使	0.0012
TS	0.0010
Ta	0.0022
V 	0.0012
Vか	0.0012
Vに	0.0012
V）	0.0012
Wi	0.0012
X
	0.0012
aP	0.0022
a・	0.0022
a）	0.0012
di	0.0012
ed	0.0012
iT	0.0022
ia	0.0012
ik	0.0012
ip	0.0012
ki	0.0012
km	0.0018
m
	0.0024
m 	0.0054
mm	0.0076
mの	0.0017
m短	0.0012
pe	0.0012
× 	0.0022
×印	0.0012
…京	0.0012
…橿	0.0012
↑法	0.0012
↓天	0.0012
○急	0.0012
○普	0.0012
● 	0.0037
　近	0.0024
、1	0.0020
、2	0.0022
、3	0.0012
、×	0.0012
、こ	0.0012
、た	0.0012
、ま	0.0012
、ガ	0.0012
、上	0.0012
、京	0.0012
、出	0.0048
、列	0.0012
、合	0.0012
、同	0.0011
、団	0.0012
、土	0.0012
、大	0.0024
、天	0.0037
、奈	0.0024
、平	0.0012
、廃	0.0012
、後	0.0012
、早	0.0012
、最	0.0011
、橿	0.0030
、線	0.0024
、翌	0.0012
、自	0.0012
、行	0.0012
、車	0.0012
、近	0.0012
、難	0.0012
、電	0.0012
、駅	0.0012
。
	0.0291
。 	0.0012
。0	0.0012
。こ	0.0009
。そ	0.0036
。た	0.0012
。な	0.0012
。ま	0.0012
。大	0.0012
。天	0.0012
。小	0.0012
。平	0.0012
。急	0.0012
。新	0.0022
。昼	0.0012
。時	0.0012
。普	0.0012
。特	0.0012
。蒸	0.0012
「 	0.0012
「ま	0.0012
「区	0.0012
「快	0.0036
「日	0.0036
「準	0.0030
「近	0.0022
「鉄	0.0012
」が	0.0011
」と	0.0048
」の	0.0019
」よ	0.0012
」を	0.0012
」各	0.0012
」新	0.0012
」（	0.0043
『ウ	0.0012
』
	0.0012
あり	0.0019
ある	0.0056
いう	0.0020
いが	0.0012
いた	0.0035
いて	0.0022
いは	0.0012
いる	0.0109
いを	0.0012
い平	0.0012
い開	0.0030
い）	0.0012
うに	0.0011
う新	0.0012
う表	0.0022
えら	0.0024
お1	0.0012
およ	0.0012
おり	0.0009
か、	0.0024
かう	0.0012
かけ	0.0012
かっ	0.0012
から	0.0080
か存	0.0012
が4	0.0012
が、	0.0040
があ	0.0011
がで	0.0011
が休	0.0012
が余	0.0012
が使	0.0024
が入	0.0012
が増	0.0012
が多	0.0036
が始	0.0012
が存	0.0012
が定	0.0012
が平	0.0012
が廃	0.0012
が打	0.0012
が新	0.0012
が橿	0.0012
が毎	0.0030
が登	0.0012
が線	0.0012
が行	0.0036
が複	0.0022
が走	0.0012
が軌	0.0012
が運	0.0024
きは	0.0024
きる	0.0022
きを	0.0012
き換	0.0012
くに	0.0012
く西	0.0012
けい	0.0012
けて	0.0011
ける	0.0012
ここ	0.0012
こし	0.0012
こと	0.0048
この	0.0011
これ	0.0012
こ最	0.0012
ごと	0.0012
ご乗	0.0012
させ	0.0012
され	0.0086
し、	0.0012
し「	0.0012
しか	0.0012
した	0.0026
して	0.0093
しな	0.0011
しソ	0.0012
し列	0.0037
し替	0.0008
し精	0.0012
じく	0.0012
す 	0.0012
すべ	0.0010
する	0.0098
ず、	0.0012
せた	0.0011
せん	0.0011
そし	0.0012
その	0.0061
た1	0.0011
た、	0.0012
た。	0.0036
たこ	0.0020
たた	0.0012
ただ	0.0036
たの	0.0012
ため	0.0022
た区	0.0012
た大	0.0012
た平	0.0012
た近	0.0012
た際	0.0012
た（	0.0012
た）	0.0012
だし	0.0036
ちの	0.0012
ち切	0.0012
った	0.0044
って	0.0097
つい	0.0024
てP	0.0012
て、	0.0024
てい	0.0086
てお	0.0009
てす	0.0012
ての	0.0010
ては	0.0024
ても	0.0024
てん	0.0012
て区	0.0012
て大	0.0012
て奈	0.0012
て新	0.0012
て消	0.0012
て買	0.0012
て運	0.0012
で
	0.0012
で 	0.0012
でJ	0.0012
でP	0.0012
で、	0.0012
であ	0.0040
でい	0.0012
でき	0.0024
での	0.0012
では	0.0040
でも	0.0012
でを	0.0012
でス	0.0012
で大	0.0012
で奈	0.0012
で法	0.0012
で見	0.0024
で設	0.0012
で軌	0.0012
で運	0.0012
で開	0.0012
で（	0.0012
とK	0.0022
と「	0.0022
とい	0.0020
とか	0.0022
とが	0.0011
とき	0.0012
とし	0.0031
とす	0.0012
とな	0.0060
との	0.0022
とも	0.0024
と上	0.0012
と同	0.0024
と大	0.0012
と天	0.0020
と標	0.0012
と近	0.0012
と連	0.0012
と駅	0.0012
どが	0.0011
どの	0.0011
ない	0.0011
なお	0.0011
