

	0.0130

 	0.0276

1	0.0160

2	0.0096

3	0.0067

4	0.0027

5	0.0027

6	0.0027

7	0.0027

8	0.0053

9	0.0013

I	0.0013

J	0.0040

※	0.0013

■	0.0040

□	0.0024

　	0.0013

「	0.0013

か	0.0012

こ	0.0011

み	0.0013

ウ	0.0024

カ	0.0013

キ	0.0027

ホ	0.0011

上	0.0131

両	0.0013

乗	0.0027

備	0.0013

兵	0.0067

出	0.0013

国	0.0012

地	0.0013

山	0.0012

当	0.0013

所	0.0048

日	0.0027

昼	0.0013

智	0.0060

有	0.0027

目	0.0013

相	0.0013

移	0.0013

西	0.0027

開	0.0013

電	0.0013

駅	0.0022

（	0.0013
 
	0.0625
  	0.1865
 0	0.0022
 1	0.0093
 2	0.0058
 3	0.0013
 4	0.0027
 5	0.0027
 6	0.0036
 7	0.0012
 8	0.0036
 K	0.0011
 P	0.0009
 r	0.0013
 ※	0.0013
 ■	0.0080
 　	0.0013
 、	0.0013
 。	0.0033
 「	0.0012
 」	0.0013
 あ	0.0013
 か	0.0013
 こ	0.0040
 と	0.0012
 は	0.0013
 カ	0.0012
 ダ	0.0036
 ナ	0.0013
 バ	0.0010
 フ	0.0013
 ホ	0.0013
 万	0.0013
 三	0.0080
 上	0.0082
 下	0.0013
 両	0.0013
 中	0.0013
 久	0.0013
 京	0.0013
 佐	0.0027
 倉	0.0013
 備	0.0024
 共	0.0013
 兵	0.0024
 利	0.0048
 北	0.0013
 台	0.0013
 吉	0.0013
 和	0.0013
 国	0.0013
 土	0.0013
 地	0.0013
 外	0.0024
 大	0.0053
 姫	0.0024
 実	0.0012
 宮	0.0013
 寝	0.0013
 尾	0.0013
 山	0.0080
 岡	0.0027
 平	0.0024
 広	0.0013
 庭	0.0013
 当	0.0012
 恋	0.0012
 新	0.0024
 方	0.0013
 日	0.0033
 智	0.0055
 有	0.0040
 東	0.0027
 松	0.0013
 検	0.0013
 概	0.0027
 歴	0.0024
 河	0.0013
 瀬	0.0013
 熊	0.0013
 特	0.0024
 相	0.0013
 石	0.0013
 福	0.0013
 竜	0.0013
 笠	0.0013
 糸	0.0013
 統	0.0013
 網	0.0013
 線	0.0013
 編	0.0121
 脚	0.0036
 苔	0.0033
 英	0.0013
 行	0.0012
 表	0.0013
 西	0.0067
 貨	0.0013
 路	0.0024
 里	0.0013
 金	0.0013
 鉄	0.0013
 関	0.0027
 隠	0.0027
 隣	0.0036
 非	0.0013
 駅	0.0058
 高	0.0013
 鳥	0.0036
 鴨	0.0013
 （	0.0067
 ）	0.0027
0 	0.0031
00	0.0096
01	0.0013
06	0.0040
07	0.0010
08	0.0040
09	0.0040
0k	0.0013
0人	0.0024
0号	0.0012
0年	0.0040
0日	0.0010
0時	0.0013
0月	0.0013
1 	0.0058
10	0.0053
11	0.0011
12	0.0080
13	0.0013
14	0.0013
15	0.0009
17	0.0013
18	0.0133
19	0.0066
1年	0.0013
1日	0.0040
1月	0.0013
